,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,M_TYPE,MW_SCOR,MW_BRProxy,s_MW_BRProxy,ST,Locality,(Reference) Comments,t_MW_BRProxy
57,1919,6,1,21,30,0,-18.0,-56.0,0.0,100,4.9,3,C,5,280.0,M(Af),5.195,4.7,0.4,MS,CORUMBA',SENT. CUIABA' e STA.LUZIA ATUAL LUZIANIA?,Mw(Af)
58,1919,6,5,4,20,0,-21.03,-44.75,0.0,0,3.2,4,C,4-5,,M(Io),3.75,2.9,0.6,MG,BOM SUCESSO,OUTROS EVENTOS,Mw(mb(I0))
59,1919,9,1,0,0,0,-17.3,-46.85,0.0,0,2.8,4,C,3-4,,M(Io),3.41,2.4,0.6,MG,PARACATU,(WILLIAMS 1922),Mw(mb(I0))
60,1919,11,9,14,0,0,-12.75,-38.68,0.0,20,3.8,3,C,4,3.7,M(Af),4.26,3.1,0.4,BA,ACUPE,,Mw(Af)
61,1919,11,10,0,0,0,-12.59,-38.62,0.0,20,3.6,3,C,4,1.7,M(Af),4.09,2.9,0.4,BA,SANTO AMARO,,Mw(Af)
62,1919,11,13,0,0,0,-12.55,-38.7,0.0,0,3.5,4,C,5,,M(Io),4.005,3.1,0.6,BA,SANTO AMARO,DOIS EVENTOS,Mw(mb(I0))
63,1919,11,16,9,55,0,-12.67,-38.68,0.0,20,3.5,3,C,5,1.2,M(Af),4.005,2.8,0.4,BA,S.B.DASLAJES,,Mw(Af)
64,1919,11,23,4,20,0,-12.65,-38.62,0.0,10,4.2,3,B,7,3.0,M(Af),4.6,3.1,0.4,BA,M.RECONCAVO,AREA IV MM,Mw(Af)
65,1919,11,24,6,0,0,-3.87,-38.92,0.0,50,4.5,3,B,4,70.0,M(Af),4.855,4.1,0.4,CE,MARANGUAPE,,Mw(Af)
66,1920,1,31,11,10,0,-21.03,-44.75,0.0,10,4.0,3,B,6,9.5,M(Af),4.43,3.4,0.4,MG,BOM SUCESSO,,Mw(Af)
67,1920,2,1,4,35,0,-21.03,-44.75,0.0,0,3.2,4,C,4-5,,M(Io),3.75,2.9,0.6,MG,BOM SUCESSO,VARIOS EVENTOS,Mw(mb(I0))
68,1920,2,9,16,20,0,-21.03,-44.75,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,MG,BOM SUCESSO,,Mw(mb(I0))
69,1920,3,11,22,15,0,-21.03,-44.75,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,MG,BOM SUCESSO,,Mw(mb(I0))
70,1922,1,27,6,50,40,-22.17,-47.04,0.0,40,5.1,3,A,6,250.0,M(Af),5.365,4.7,0.4,SP,MOGI GUACU,(Assumpcao et al.1979),Mw(Af)
71,1924,1,1,0,0,0,-8.28,-35.96,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,PE,CARUARU,,Mw(mb(I0))
72,1927,1,1,3,0,0,-6.04,-38.46,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,CE,PEREIRO,,Mw(mb(I0))
73,1928,4,15,21,59,0,-4.56,-37.76,0.0,0,4.0,3,C,6,10.0,M(Af),4.43,3.4,0.4,CE,ARACATI,AREA APROXIMADA,Mw(Af)
74,1928,6,8,21,30,0,-5.42,-39.36,0.0,0,3.6,3,C,3-4,2.0,M(Af),4.09,3.0,0.4,CE,LACERDA,,Mw(Af)
75,1929,11,10,1,4,0,-27.5,-58.9,0.0,30,2.5,4,C,3,,M(Io),3.155,2.1,0.6,AR,R.Parana Corrientes,(LPA;SJA/INPRES),Mw(mb(I0))
76,1935,1,2,1,12,18,-29.6,-60.0,0.0,30,3.0,4,C,4,,M(Io),3.58,2.6,0.6,AR,Vera; Santa Fe,(LPA;SJA/INPRES),Mw(mb(I0))
77,1935,10,21,10,40,0,-21.03,-44.75,0.0,10,3.7,3,C,5-6,2.8,M(Af),4.175,3.1,0.4,MG,BOM SUCESSO,OUTROS EVENTOS,Mw(Af)
78,1939,6,28,11,32,22,-29.0,-48.0,0.0,90,5.5,3,A,6,1100.0,M(Af),5.705,5.6,0.4,SC,TUBARAO,(ISS; IAG)  I.E.I.= VII,Mw(Af)
79,1941,4,11,12,5,0,-16.1,-54.5,0.0,70,4.4,3,B,5,51.0,M(Af),4.77,4.0,0.4,MT,RONDONOPOLIS CUIABA,POXOREU,Mw(Af)
80,1942,1,1,18,30,0,-3.1,-40.84,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,CE,GRANJA,,Mw(mb(I0))
81,1946,2,19,4,0,0,-21.31,-46.71,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,MG,GUAXUPE',,Mw(mb(I0))
82,1946,7,18,7,15,0,-25.1,-47.7,0.0,30,4.6,3,A,4-5,60.0,M(Af),4.94,4.1,0.4,SP,CANANEIA,AREA IV = 25000 KM2,Mw(Af)
83,1946,10,7,20,25,0,-1.44,-48.48,0.0,0,2.8,4,C,3-4,,M(Io),3.41,2.4,0.6,PA,BELEM,,Mw(mb(I0))
84,1947,1,1,0,0,0,-21.79,-46.58,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,MG,POCOS DE CALDAS,PROV. 19.02.1946,Mw(mb(I0))
85,1947,12,15,19,5,0,-21.7,-57.9,0.0,0,3.5,4,C,5,,M(Io),4.005,3.1,0.6,MS,Pto. MURTINHO,SENT. P.QUEBRACHO; JARDIM,Mw(mb(I0))
86,1948,1,21,16,47,40,-30.5,-58.0,0.0,30,5.5,4,B,6,,M(Io),5.705,3.6,0.6,AR,M.Caseros;Corrientes,(SJA/INPRES),Mw(mb(I0))
87,1948,5,1,0,0,0,-15.07,-49.97,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,GO,EMBIARA,(UnB),Mw(mb(I0))
88,1949,9,17,0,0,0,3.83,-51.84,0.0,100,5.0,3,C,4,450.0,M(Af),5.28,5.0,0.4,AP,OIAPOQUE,,Mw(Af)
89,1949,12,31,0,0,0,-5.69,-36.24,0.0,0,3.9,4,C,6,,M(Io),4.345,3.6,0.6,RN,LAJES,,Mw(mb(I0))
90,1950,2,27,11,58,0,-21.82,-46.71,0.0,20,3.9,3,C,5,6.0,M(Af),4.345,3.3,0.4,MG,P. DE CALDAS,,Mw(Af)
91,1950,4,7,15,0,0,-5.9,-35.61,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,RN,JOAO CAMARA,,Mw(mb(I0))
92,1951,4,24,0,0,0,3.83,-51.84,0.0,0,4.7,3,C,4,150.0,M(Af),5.025,4.4,0.4,AP,OIAPOQUE,,Mw(Af)
93,1954,1,1,0,0,0,-9.93,-36.49,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,AL,JUNQUEIRO,,Mw(mb(I0))
94,1955,1,31,5,3,6,-12.52,-57.35,0.0,30,6.2,0,I,-,900.0,mb,6.3,6.0,0.33,MT,SA. TOMBADOR,(USGS) M_PAS6.8;M_BCI6.6; relocal.Engdahl,0.7Mw(mb)+0.3Mw(Af)
95,1955,3,1,1,46,18,-19.84,-36.75,0.0,30,6.1,0,A,-,,mb,6.215,6.1,0.3,ES,FTE.VITORIA,(ISC) VITORIA V MM; M(ROTHE)=6; MB(PAS)=6,Mw(mb)
96,1957,4,16,18,17,12,-9.5,-67.0,0.0,100,4.9,5,I,-,,Ind,5.195,6.1,0.3,AM,SUL AMAZONAS,(USGS),Mw(mb)
97,1959,2,5,13,50,0,-11.54,-57.41,0.0,0,3.5,4,C,5,,M(Io),4.005,3.1,0.6,MT,Porto dos Gauchos,sentido 2 vezes (UnB),Mw(mb(I0))
98,1959,5,25,23,8,0,-21.26,-48.69,0.0,0,3.2,4,C,4-5,,M(Io),3.75,2.9,0.6,SP,FERN.PRESTES,INDUZIDO (ANEXO 4),Mw(mb(I0))
99,1959,5,27,17,5,0,-21.26,-48.69,0.0,0,3.2,4,C,4-5,,M(Io),3.75,2.9,0.6,SP,FERN.PRESTES,INDUZIDO POCO ARTESIANO?,Mw(mb(I0))
