,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,M_TYPE,MW_SCOR,MW_BRProxy,s_MW_BRProxy,ST,Locality,(Reference) Comments,t_MW_BRProxy
923,1994,8,5,18,42,36,-4.41,-38.29,4.0,2,2.0,5,I,-,,Ind,2.73,2.0,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
924,1994,8,6,22,19,31,-10.51,-37.34,0.0,50,2.6,1,I,-,,MR,3.24,2.2,0.3,SE,Gado Bravo,(IAG) Explosao ?,Mw(mb)
925,1994,8,8,2,50,35,-4.41,-38.29,4.0,2,2.2,5,I,-,,Ind,2.9,2.2,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
926,1994,8,8,14,14,22,-4.41,-38.29,4.0,2,2.4,5,I,-,,Ind,3.07,2.2,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
927,1994,8,8,15,6,10,-4.41,-38.29,4.0,2,2.4,5,I,-,,Ind,3.07,2.2,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
928,1994,8,8,16,20,5,-4.41,-38.29,4.0,2,2.2,5,I,-,,Ind,2.9,2.2,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
929,1994,8,10,2,41,42,-4.41,-38.29,4.0,2,2.2,5,I,-,,Ind,2.9,2.2,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
930,1994,8,11,7,23,34,-4.41,-38.29,4.0,2,3.5,1,I,-,,MR,4.005,3.2,0.3,CE,Cascavel,(UFRN;IAG;UnB),Mw(mb)
931,1994,8,11,7,27,57,-4.41,-38.29,4.0,2,2.4,1,I,-,,MR,3.07,1.9,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
932,1994,8,11,15,1,1,-4.41,-38.29,4.0,2,2.0,5,I,-,,Ind,2.73,1.9,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
933,1994,8,15,8,12,28,-4.41,-38.29,4.0,2,2.0,5,I,-,,Ind,2.73,1.9,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
934,1994,8,15,10,34,7,-4.41,-38.29,4.0,2,2.1,5,I,-,,Ind,2.815,1.9,0.3,CE,Cascavel,(UFRN;IAG),Mw(mb)
935,1994,8,21,5,12,23,-21.32,-46.16,1.0,2,2.4,1,I,3,,MR,3.07,1.9,0.3,MG,Areado,(IAG;IPT) varios,Mw(mb)
936,1994,8,24,7,1,14,-4.41,-38.29,4.0,2,2.0,5,I,-,,Ind,2.73,1.9,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
937,1994,8,26,1,31,47,-5.49,-36.54,0.0,2,3.0,1,I,-,,MR,3.58,2.6,0.3,RN,N.S. Rafael,(UFRN;UnB;IAG)varios,Mw(mb)
938,1994,8,26,7,52,30,-5.49,-36.54,0.0,2,2.6,1,I,-,,MR,3.24,2.2,0.3,RN,N.S. Rafael,(UFRN;UnB;IAG),Mw(mb)
939,1994,9,11,1,41,22,-5.46,-35.69,0.0,10,3.5,1,I,-,,MR,4.005,3.2,0.3,RN,Joao Camara,(UFRN;IAG;UnB),Mw(mb)
940,1994,9,16,10,36,0,-5.46,-35.69,0.0,10,2.2,5,I,-,,Ind,2.9,3.2,0.3,RN,Joao Camara,(UFRN),Mw(mb)
941,1994,9,20,7,9,46,-4.41,-38.29,4.0,2,2.8,1,I,-,,MR,3.41,2.4,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
942,1994,9,20,9,17,53,-23.17,-46.11,2.0,2,2.6,5,I,-,,Ind,3.24,2.4,0.3,SP,Igarata,(IPT;IAG),Mw(mb)
943,1994,9,21,6,31,17,-4.41,-38.29,4.0,2,2.0,5,I,-,,Ind,2.73,2.4,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
944,1994,9,22,20,11,0,-4.41,-38.29,4.0,2,2.3,5,I,-,,Ind,2.985,2.4,0.3,CE,Cascavel,(UFRN),Mw(mb)
945,1994,9,23,1,5,17,-13.42,-39.66,0.0,40,2.7,1,I,3-4,,MR,3.325,2.3,0.3,BA,Jaguaquara,(IAG),Mw(mb)
946,1994,9,29,18,16,45,-4.41,-38.29,4.0,2,2.3,5,I,-,,Ind,2.985,2.3,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
947,1994,10,2,22,38,48,-4.41,-38.29,4.0,2,2.1,5,I,-,,Ind,2.815,2.3,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
948,1994,10,2,23,17,48,-4.41,-38.29,4.0,2,2.1,5,I,-,,Ind,2.815,2.3,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
949,1994,10,23,11,39,33,-4.41,-38.29,4.0,2,2.1,5,I,-,,Ind,2.815,2.3,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
950,1994,10,27,0,28,19,-4.41,-38.29,4.0,2,2.0,5,I,-,,Ind,2.73,2.3,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
951,1994,11,1,14,42,41,-5.65,-35.85,0.0,10,2.2,5,I,-,,Ind,2.9,2.3,0.3,RN,Joao Camara,(UFRN;IAG),Mw(mb)
952,1994,11,4,12,19,47,-4.41,-38.29,4.0,2,2.8,1,I,-,,MR,3.41,2.4,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
953,1994,11,13,4,47,17,-20.2,-44.4,0.0,10,3.0,1,I,4-5,1.65,MR,3.58,2.7,0.33,MG,Brumadinho,(IAG;UnB;IPT),0.7Mw(mb)+0.3Mw(Af)
954,1994,11,15,3,10,44,-4.41,-38.29,4.0,2,2.5,1,I,-,,MR,3.155,2.0,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
955,1994,12,31,19,17,51,-19.02,-43.75,0.0,10,2.4,1,I,4,0.1,MR,3.07,2.0,0.33,MG,Sant. Riacho,(UnB;IAG) varios,0.7Mw(mb)+0.3Mw(Af)
956,1995,1,11,17,37,6,-17.22,-48.62,0.0,20,2.5,1,I,-,,MR,3.155,2.0,0.3,GO,Pires do Rio,(UnB),Mw(mb)
957,1995,1,13,18,22,0,-4.41,-38.29,0.0,2,2.2,5,I,-,,Ind,2.9,2.0,0.3,CE,Cascavel,(UFRN;IAG),Mw(mb)
958,1995,1,13,20,46,0,-4.41,-38.29,0.0,2,2.6,5,I,-,,Ind,3.24,2.0,0.3,CE,Cascavel,(UFRN;IAG),Mw(mb)
959,1995,1,18,19,21,8,-4.41,-38.29,0.0,2,2.5,5,I,-,,Ind,3.155,2.0,0.3,CE,Cascavel,(UFRN;UnB),Mw(mb)
960,1995,1,18,20,45,7,-4.41,-38.29,0.0,2,2.2,5,I,-,,Ind,2.9,2.0,0.3,CE,Cascavel,(UFRN;UnB),Mw(mb)
961,1995,1,18,21,45,0,-4.41,-38.29,0.0,2,2.6,5,I,-,,Ind,3.24,2.0,0.3,CE,Cascavel,(UFRN),Mw(mb)
962,1995,1,20,14,21,47,-4.41,-38.29,0.0,2,2.1,5,I,-,,Ind,2.815,2.0,0.3,CE,Cascavel,(UFRN;UnB),Mw(mb)
963,1995,1,28,3,23,0,-23.99,-49.18,0.0,20,2.5,1,I,-,,MR,3.155,2.0,0.3,SP,Itarare,(IPT;IAG),Mw(mb)
964,1995,2,9,3,30,31,-24.63,-45.69,0.0,80,2.2,1,I,-,,MR,2.9,1.7,0.3,SP,Margem Cont.,(IPT;IAG),Mw(mb)
965,1995,2,9,22,17,22,-12.47,-54.2,0.0,80,3.7,1,I,-,,MR,4.175,3.4,0.3,MT,Consul,(UnB),Mw(mb)
966,1995,2,10,7,27,19,-21.78,-46.51,0.0,30,2.1,1,I,-,,MR,2.815,1.6,0.3,MG,Pocos Caldas,(IPT;UnB;IAG),Mw(mb)
967,1995,3,11,3,52,6,-26.13,-48.39,0.0,30,2.8,1,I,-,,MR,3.41,2.4,0.3,SC,Plat. Cont.,(IPT;IAG;COPEL;UFRS),Mw(mb)
968,1995,3,12,14,42,8,-5.55,-35.88,0.0,30,2.3,5,I,-,,Ind,2.985,2.4,0.3,RN,Joao Camara,(UFRN),Mw(mb)
969,1995,3,14,20,42,11,-13.75,-47.72,0.0,50,2.4,1,I,-,,MR,3.07,1.9,0.3,GO,Cavalcante,(UnB),Mw(mb)
970,1995,3,18,2,59,31,-24.5,-49.87,0.0,10,2.5,1,I,5,,MR,3.155,2.0,0.3,PR,Pirai do Sul,(IAG;IPT;COPEL),Mw(mb)
971,1995,3,20,3,26,38,-5.37,-35.94,0.0,30,2.9,5,I,-,,Ind,3.495,2.0,0.3,RN,Joao Camara,(UFRN;UnB),Mw(mb)
972,1995,3,20,11,0,0,-5.53,-35.75,0.0,30,2.1,5,I,-,,Ind,2.815,2.0,0.3,RN,Joao Camara,(UFRN),Mw(mb)
973,1995,3,20,12,12,58,-12.27,-49.32,0.0,50,2.6,1,I,-,,MR,3.24,2.2,0.3,TO,Figueiropol.,(UnB),Mw(mb)
974,1995,3,27,2,37,58,-13.43,-48.61,0.0,50,2.0,1,I,-,,MR,2.73,1.5,0.3,GO,S.T.de Goias,(UnB),Mw(mb)
975,1995,3,29,0,41,36,-7.11,-40.22,0.0,30,2.6,1,I,-,,MR,3.24,2.2,0.3,CE,Aiuaba,(UFRN;IAG;UnB),Mw(mb)
976,1995,4,2,11,17,37,-24.98,-48.41,0.0,20,2.5,1,I,-,,MR,3.155,2.0,0.3,SP,Rio Vermelho,(IPT),Mw(mb)
977,1995,4,12,17,28,1,-12.29,-40.38,0.0,50,2.2,1,I,-,,MR,2.9,1.7,0.3,BA,Itaberaba,(IAG) Explosao ?,Mw(mb)
978,1995,4,19,21,11,23,-19.12,-47.57,0.0,10,2.5,1,I,-,,MR,3.155,2.0,0.3,MG,Nova Ponte,(UnB),Mw(mb)
979,1995,4,21,8,51,27,-19.14,-47.67,0.0,5,3.5,1,I,3,,MR,4.005,3.2,0.3,MG,Nova Ponte,(UnB;IPT;IAG),Mw(mb)
980,1995,4,22,16,50,50,-4.41,-38.29,4.0,2,3.5,1,I,-,,MR,4.005,3.2,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
981,1995,4,23,1,36,57,-4.67,-38.19,0.0,20,2.7,1,I,-,,MR,3.325,2.3,0.3,CE,Hidrolandia,(UFRN;UnB;IAG),Mw(mb)
982,1995,4,28,13,33,8,-5.61,-35.61,0.0,10,2.6,1,I,-,,MR,3.24,2.2,0.3,RN,Taipu,(UFRN;IAG;UnB),Mw(mb)
983,1995,5,2,16,49,26,-25.68,-48.31,0.0,50,3.1,1,I,-,,MR,3.665,2.7,0.3,SP,Margem Cont.,(IPT),Mw(mb)
984,1995,5,4,0,50,51,-25.33,-43.98,0.0,50,2.5,1,I,-,,MR,3.155,2.0,0.3,SP,Margem Cont.,(IPT;IAG),Mw(mb)
985,1995,5,7,17,57,16,-13.37,-49.03,0.0,30,2.0,1,I,-,,MR,2.73,1.5,0.3,GO,Porangatu,(UnB),Mw(mb)
986,1995,5,10,1,37,56,-3.91,-40.41,0.0,5,3.4,1,I,-,,MR,3.92,3.1,0.3,CE,Groairas,(UFRN;IAG),Mw(mb)
987,1995,5,22,0,56,24,-23.17,-46.15,0.0,2,2.0,1,I,4,0.015,MR,2.73,1.5,0.33,SP,Igarata,(IPT;IAG) Induzido,0.7Mw(mb)+0.3Mw(Af)
988,1995,5,26,19,43,44,-20.2,-47.65,0.0,50,2.9,1,I,-,,MR,3.495,2.5,0.3,SP,Buritizal,(UnB),Mw(mb)
989,1995,5,27,23,19,44,-20.01,-44.7,0.0,20,3.1,1,I,-,,MR,3.665,2.7,0.3,MG,Igaratinga,(UnB;IPT;IAG),Mw(mb)
990,1995,5,28,9,22,59,-20.93,-47.65,0.0,50,2.7,1,I,-,,MR,3.325,2.3,0.3,SP,Batatais,(UnB),Mw(mb)
991,1995,5,29,11,58,20,-19.46,-47.57,0.0,20,2.5,1,I,-,,MR,3.155,2.0,0.3,MG,Nova Ponte,(UnB),Mw(mb)
992,1995,5,30,1,41,13,-10.79,-38.19,0.0,50,2.2,1,I,-,,MR,2.9,1.7,0.3,SE,Poco Verde,(IAG),Mw(mb)
993,1995,5,30,13,1,20,-20.92,-47.63,0.0,50,2.6,1,I,-,,MR,3.24,2.2,0.3,SP,Nuporanga,(UnB),Mw(mb)
994,1995,5,30,19,43,8,-19.68,-47.5,0.0,30,3.0,1,I,-,,MR,3.58,2.6,0.3,MG,Nova Ponte,(UnB),Mw(mb)
995,1995,5,31,0,36,47,-25.15,-44.6,0.0,50,3.0,1,I,-,,MR,3.58,2.6,0.3,SP,Margem Cont.,(IAG;IPT),Mw(mb)
996,1995,6,2,9,32,11,-20.54,-47.66,0.0,50,2.9,1,I,-,,MR,3.495,2.5,0.3,SP,Sao Jose,(UnB),Mw(mb)
997,1995,6,3,5,26,31,-18.03,-46.74,0.0,50,3.1,1,I,-,,MR,3.665,2.7,0.3,GO,Vazante,(UnB;IAG),Mw(mb)
998,1995,6,3,19,50,3,-19.43,-47.81,0.0,30,2.6,1,I,-,,MR,3.24,2.2,0.3,MG,Nova Ponte,(UnB),Mw(mb)
999,1995,6,4,2,49,24,-19.56,-45.66,0.0,60,2.5,1,I,-,,MR,3.155,2.0,0.3,MG,Dores Indaia,(UnB;IAG),Mw(mb)
1000,1995,6,4,3,19,53,-20.0,-45.67,0.0,20,2.5,1,I,-,,MR,3.155,2.0,0.3,MG,Lagoa Prata,(UnB;IAG;IPT),Mw(mb)
1001,1995,6,5,6,51,37,-19.38,-45.76,0.0,60,2.4,1,I,-,,MR,3.07,1.9,0.3,MG,Dores Indaia,(UnB;IAG),Mw(mb)
1002,1995,6,6,0,32,22,-20.32,-48.41,0.0,30,2.8,1,I,-,,MR,3.41,2.4,0.3,SP,Guaira,(UnB;IPT;IAG),Mw(mb)
1003,1995,6,6,17,42,4,-21.02,-47.55,0.0,40,2.5,1,I,-,,MR,3.155,2.0,0.3,SP,Altinopolis,(UnB),Mw(mb)
1004,1995,6,6,17,43,43,-21.03,-47.6,0.0,40,2.7,1,I,-,,MR,3.325,2.3,0.3,SP,Altinopolis,(UnB),Mw(mb)
1005,1995,6,8,3,48,11,-19.5,-45.74,0.0,60,2.5,1,I,-,,MR,3.155,2.0,0.3,MG,Dores Indaia,(UnB;IAG),Mw(mb)
1006,1995,6,8,20,0,13,-20.86,-47.57,0.0,50,2.5,1,I,-,,MR,3.155,2.0,0.3,SP,Batatais,(UnB),Mw(mb)
1007,1995,6,18,8,44,44,-24.0,-49.51,0.0,10,2.6,1,I,-,,MR,3.24,2.2,0.3,PR,Reianopolis,(IPT;IAG),Mw(mb)
1008,1995,6,21,2,57,43,-10.79,-48.34,0.0,20,2.9,1,I,-,,MR,3.495,2.5,0.3,TO,Porto Nacional,(UnB;IAG),Mw(mb)
1009,1995,6,23,20,1,7,-21.12,-44.41,0.0,60,2.0,1,I,-,,MR,2.73,1.5,0.3,MG,Cassiterita,(UnB),Mw(mb)
1010,1995,6,25,16,57,0,-23.45,-45.52,0.0,5,2.0,1,I,-,,MR,2.73,1.5,0.3,SP,Paraibuna,(IPT;IAG),Mw(mb)
1011,1995,6,27,0,14,50,-5.53,-35.75,0.0,30,2.0,1,I,-,,MR,2.73,1.5,0.3,RN,Joao Camara,(UFRN),Mw(mb)
1012,1995,6,27,4,13,53,-5.53,-35.75,0.0,30,2.1,1,I,-,,MR,2.815,1.6,0.3,RN,Joao Camara,(UFRN),Mw(mb)
1013,1995,6,27,4,14,0,-5.53,-35.75,0.0,30,2.0,1,I,-,,MR,2.73,1.5,0.3,RN,Joao Camara,(UFRN),Mw(mb)
1014,1995,7,18,9,40,24,-5.53,-35.75,0.0,30,2.0,1,I,-,,MR,2.73,1.5,0.3,RN,Joao Camara,(UFRN),Mw(mb)
1015,1995,7,20,23,7,49,-24.64,-46.55,0.0,50,2.1,1,I,-,,MR,2.815,1.6,0.3,SP,Margem Cont.,(IPT),Mw(mb)
1016,1995,7,26,20,27,38,-20.41,-45.49,0.0,10,2.3,1,I,-,,MR,2.985,1.8,0.3,MG,Formiga,(IAG) Explosao ?,Mw(mb)
1017,1995,8,6,7,3,40,-22.69,-51.55,0.0,50,2.7,1,I,-,,MR,3.325,2.3,0.3,PR,Maira,(IPT;IAG),Mw(mb)
1018,1995,8,10,19,16,32,-9.86,-50.54,0.0,70,2.9,1,I,-,,MR,3.495,2.5,0.3,MT,Vila Rica,(UnB),Mw(mb)
1019,1995,8,24,3,20,6,-19.17,-47.86,0.0,20,3.0,1,I,-,,MR,3.58,2.6,0.3,MG,Nova Ponte,(UnB),Mw(mb)
1020,1995,8,24,21,31,10,-5.53,-35.75,0.0,30,2.5,1,I,-,,MR,3.155,2.0,0.3,RN,Joao Camara,(UFRN),Mw(mb)
1021,1995,8,27,12,12,0,-16.67,-43.94,0.0,10,2.6,1,I,-,,MR,3.24,2.2,0.3,MG,Montes Claros,(IAG;UnB;IPT),Mw(mb)
1022,1995,8,27,20,8,35,-16.67,-43.94,0.0,10,3.7,1,I,6,,MR,4.175,3.4,0.3,MG,Montes Claros,(IAG;UnB;IPT),Mw(mb)
1023,1995,8,28,12,59,58,-16.67,-43.94,0.0,10,2.4,1,I,-,,MR,3.07,1.9,0.3,MG,Montes Claros,(IAG;UnB;IPT),Mw(mb)
1024,1995,9,21,17,0,0,-11.93,-61.93,0.0,5,2.6,4,C,3,,M(Io),3.24,2.1,0.6,RO,Rolim de Moura,(IAG),Mw(mb(I0))
1025,1995,10,4,6,55,53,-14.89,-48.78,0.0,40,2.0,1,I,-,,MR,2.73,1.5,0.3,GO,Dois Irmaos,(UnB),Mw(mb)
1026,1995,10,12,10,45,0,-4.41,-38.29,0.0,2,2.5,5,I,-,,Ind,3.155,1.5,0.3,CE,Cascavel,(UFRN;IAG),Mw(mb)
1027,1995,10,28,6,7,0,-23.73,-53.21,0.0,50,2.8,1,I,-,,MR,3.41,2.4,0.3,PR,Lovat,(IPT),Mw(mb)
1028,1995,10,30,2,37,15,-5.53,-35.75,0.0,30,2.3,1,I,-,,MR,2.985,1.8,0.3,RN,Joao Camara,(UFRN),Mw(mb)
1029,1995,11,2,6,55,51,-13.6,-48.95,0.0,30,2.5,1,I,-,,MR,3.155,2.0,0.3,GO,S.T. de Goias,(UnB),Mw(mb)
1030,1995,11,10,17,27,42,-18.78,-44.7,0.0,50,2.5,1,I,-,,MR,3.155,2.0,0.3,MG,Formiga,(IAG) Explosao ?,Mw(mb)
1031,1995,11,25,6,22,3,-5.53,-35.75,0.0,30,2.2,1,I,-,,MR,2.9,1.7,0.3,RN,Joao Camara,(UFRN),Mw(mb)
1032,1995,11,25,19,12,49,-5.53,-35.75,0.0,30,2.5,1,I,-,,MR,3.155,2.0,0.3,RN,Joao Camara,(UFRN),Mw(mb)
1033,1995,11,26,2,52,3,-19.83,-46.24,0.0,30,2.3,1,I,-,,MR,2.985,1.8,0.3,MG,Campos Altos,(IPT;UnB;IAG),Mw(mb)
1034,1995,12,11,20,49,47,-13.81,-48.85,0.0,40,2.7,1,I,-,,MR,3.325,2.3,0.3,GO,Formoso,(UnB),Mw(mb)
1035,1995,12,27,9,53,44,-5.53,-35.75,0.0,30,2.4,1,I,-,,MR,3.07,1.9,0.3,RN,Joao Camara,(UFRN),Mw(mb)
1036,1995,12,27,21,29,14,-5.53,-35.75,0.0,30,2.0,1,I,-,,MR,2.73,1.5,0.3,RN,Joao Camara,(UFRN),Mw(mb)
1037,1995,12,29,13,59,52,-13.82,-49.43,0.0,100,2.4,1,I,-,,MR,3.07,1.9,0.3,GO,Mutunopolis,(UnB),Mw(mb)
1038,1996,1,13,0,33,9,-28.04,-46.38,0.0,50,3.2,1,I,-,,MR,3.75,2.8,0.3,SC,Margem Cont.,(IAG;IPT;COPEL;UFRS),Mw(mb)
1039,1996,1,19,16,18,30,-5.52,-35.73,0.0,10,2.7,1,I,-,,MR,3.325,2.3,0.3,RN,Joao Camara,(UFRN;IAG),Mw(mb)
1040,1996,1,19,16,21,31,-5.52,-35.73,0.0,10,2.3,1,I,-,,MR,2.985,1.8,0.3,RN,Joao Camara,(UFRN;IAG),Mw(mb)
1041,1996,1,29,18,47,22,-17.03,-49.81,0.0,30,2.2,1,I,-,,MR,2.9,1.7,0.3,GO,Hidrolandia,(UnB),Mw(mb)
1042,1996,2,23,23,27,9,-21.95,-48.68,0.0,5,2.9,1,I,-,,MR,3.495,2.5,0.3,SP,Bariri,(IPT;UnB;IAG;COPEL),Mw(mb)
1043,1996,2,28,5,34,51,-19.58,-48.2,0.0,50,2.8,1,I,-,,MR,3.41,2.4,0.3,MG,Nova Ponte,(UnB),Mw(mb)
1044,1996,3,1,3,39,33,-15.61,-51.87,0.0,4,3.2,1,I,-,,MR,3.75,2.8,0.3,MT,Araguaiana,(UnB),Mw(mb)
1045,1996,3,7,5,46,42,-25.5,-45.43,0.0,50,2.0,1,I,-,,MR,2.73,1.5,0.3,PR,Margem Cont.,(IPT),Mw(mb)
1046,1996,3,12,10,18,36,-28.43,-34.66,0.0,50,4.6,0,I,-,,mb,4.94,4.4,0.3,SC,Atlantico S,(ISC),Mw(mb)
1047,1996,3,13,5,5,58,-15.61,-51.87,0.0,4,3.6,1,I,-,,MR,4.09,3.3,0.3,MT,Araguaiana,(UnB;IPT;IAG),Mw(mb)
1048,1996,3,21,18,49,29,-15.61,-51.87,0.0,4,3.4,1,I,-,,MR,3.92,3.1,0.3,MT,Araguaiana,(UnB),Mw(mb)
1049,1996,3,21,18,53,42,-15.61,-51.87,0.0,4,3.1,1,I,-,,MR,3.665,2.7,0.3,MT,Araguaiana,(UnB),Mw(mb)
1050,1996,3,22,6,17,7,-15.61,-51.87,0.0,4,2.9,1,I,-,,MR,3.495,2.5,0.3,MT,Araguaiana,(UnB),Mw(mb)
1051,1996,3,28,11,50,0,-15.61,-51.87,0.0,4,3.1,1,I,-,,MR,3.665,2.7,0.3,MT,Araguaiana,(UnB),Mw(mb)
1052,1996,3,28,15,5,53,-24.87,-44.24,0.0,30,3.1,1,I,-,,MR,3.665,2.7,0.3,SP,Margem Cont.,(IPT;UnB;IAG),Mw(mb)
1053,1996,3,30,21,32,56,-15.61,-51.87,0.0,4,3.2,1,I,-,,MR,3.75,2.8,0.3,MT,Araguaiana,(UnB;IAG),Mw(mb)
1054,1996,4,4,21,45,33,-19.92,-44.35,0.0,50,2.7,1,I,-,,MR,3.325,2.3,0.3,MG,Betim,(UnB;IAG),Mw(mb)
1055,1996,4,9,5,17,0,-21.29,-47.32,0.0,5,2.8,5,I,-,,Ind,3.41,2.3,0.3,SP,Cajuru,(IPT),Mw(mb)
1056,1996,4,15,4,56,43,-15.76,-51.93,0.0,50,2.6,1,I,-,,MR,3.24,2.2,0.3,MT,Araguaiana,(UnB),Mw(mb)
1057,1996,4,21,2,55,57,-23.96,-44.68,0.0,30,2.2,1,I,-,,MR,2.9,1.7,0.3,SP,Margem Cont.,(IPT;IAG),Mw(mb)
1058,1996,4,24,20,3,55,-26.47,-45.38,0.0,30,3.0,1,I,-,,MR,3.58,2.6,0.3,SC,Margem Cont.,(IAG;IPT),Mw(mb)
1059,1996,4,27,9,4,18,-15.64,-51.91,0.0,50,2.6,1,I,-,,MR,3.24,2.2,0.3,MT,Araguaiana,(UnB),Mw(mb)
1060,1996,4,27,14,47,12,-18.12,-43.69,0.0,60,3.2,1,I,-,,MR,3.75,2.8,0.3,MT,Alto Garcas,(UnB),Mw(mb)
1061,1996,4,30,13,11,6,-24.14,-46.96,0.0,20,2.0,1,I,-,,MR,2.73,1.5,0.3,SP,Margem Cont.,(IPT),Mw(mb)
1062,1996,5,1,12,43,53,-12.57,-48.05,0.0,20,2.7,1,I,-,,MR,3.325,2.3,0.3,TO,S.STocantins,(UnB),Mw(mb)
1063,1996,5,8,19,2,13,-21.29,-47.32,0.0,5,2.0,1,I,2,,MR,2.73,1.5,0.3,SP,Cajuru,(IAG;IPT),Mw(mb)
1064,1996,5,9,5,17,4,-21.39,-47.25,0.0,10,2.7,1,I,4,,MR,3.325,2.3,0.3,SP,Cajuru,(IAG;IPT;UnB),Mw(mb)
1065,1996,5,10,2,45,18,-15.79,-51.73,0.0,50,2.7,1,I,-,,MR,3.325,2.3,0.3,MT,Araguaiana,(UnB),Mw(mb)
1066,1996,5,10,6,0,43,-15.61,-51.87,0.0,4,3.4,1,I,6,,MR,3.92,3.1,0.3,MT,Araguaiana,(UnB;IPT;IAG),Mw(mb)
1067,1996,5,12,15,6,30,-21.19,-46.3,0.0,10,2.2,1,I,-,,MR,2.9,1.7,0.3,MG,Jureia,(IPT;IAG;UnB),Mw(mb)
1068,1996,5,13,20,43,25,-15.61,-51.87,0.0,4,2.6,1,I,-,,MR,3.24,2.2,0.3,MT,Araguaiana,(UnB),Mw(mb)
1069,1996,5,19,19,14,48,-15.61,-51.87,0.0,4,2.2,1,I,-,,MR,2.9,1.7,0.3,MT,Araguaiana,(UnB),Mw(mb)
1070,1996,6,3,5,18,29,-13.03,-50.35,0.0,50,2.7,1,I,-,,MR,3.325,2.3,0.3,GO,S.M.Araguaia,(UnB),Mw(mb)
1071,1996,6,11,20,38,37,-22.73,-48.68,0.0,50,3.4,1,I,-,,MR,3.92,3.1,0.3,SP,Areiopolis,(UnB),Mw(mb)
1072,1996,6,13,3,50,20,-26.7,-45.68,0.0,40,2.8,1,I,-,,MR,3.41,2.4,0.3,SC,Margem Cont.,(IPT;IAG),Mw(mb)
1073,1996,6,13,13,15,0,-15.25,-40.25,0.0,10,2.1,4,C,2,,M(Io),2.815,1.6,0.6,BA,Itapetinga,(UnB),Mw(mb(I0))
1074,1996,6,18,0,38,59,-13.78,-48.24,0.0,50,2.2,1,I,-,,MR,2.9,1.7,0.3,GO,Campinacu,(UnB),Mw(mb)
1075,1996,6,18,0,38,59,-13.88,-48.14,0.0,70,2.2,1,I,-,,MR,2.9,1.7,0.3,GO,Campinacu,(UnB),Mw(mb)
1076,1996,6,19,5,30,14,-14.15,-48.68,0.0,80,2.2,1,I,-,,MR,2.9,1.7,0.3,GO,Campinacu,(UnB),Mw(mb)
1077,1996,6,21,0,45,34,-14.21,-48.43,0.0,70,2.1,1,I,-,,MR,2.815,1.6,0.3,GO,Campinacu,(UnB),Mw(mb)
1078,1996,6,26,0,33,44,-13.31,-48.45,0.0,60,2.5,1,I,-,,MR,3.155,2.0,0.3,GO,Minacu,(UnB),Mw(mb)
1079,1996,6,28,2,46,34,-22.94,-45.21,0.0,20,2.4,1,I,-,,MR,3.07,1.9,0.3,SP,Roseira,(IAG;IPT),Mw(mb)
1080,1996,7,1,23,20,0,-10.75,-62.22,0.0,20,3.2,5,I,4-5,,Ind,3.75,1.9,0.3,RO,Ouro Preto,(UnB),Mw(mb)
1081,1996,7,10,7,20,30,-15.61,-51.99,0.0,50,2.3,1,I,-,,MR,2.985,1.8,0.3,MT,Araguaiana,(UnB),Mw(mb)
1082,1996,7,18,8,9,11,-13.82,-48.31,0.0,40,2.3,1,I,-,,MR,2.985,1.8,0.3,GO,Campinacu,(UnB),Mw(mb)
1083,1996,7,27,23,34,57,-23.88,-57.02,0.0,50,3.0,1,I,-,,MR,3.58,2.6,0.3,PY,Paraguai,(IPT;COPEL),Mw(mb)
1084,1996,8,2,8,34,29,-13.98,-48.53,0.0,70,2.2,1,I,-,,MR,2.9,1.7,0.3,GO,Campinacu,(UnB),Mw(mb)
1085,1996,8,3,15,14,11,-19.31,-47.88,0.0,30,2.5,1,I,-,,MR,3.155,2.0,0.3,MG,Nova Ponte,(UnB),Mw(mb)
