,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,ST,Locality,(Reference) Comments,MW_BRProxy,s_MW_BRProxy,t_MW_BRProxy
327,1986,8,5,23,59,19,-5.53,-35.75,0.0,10,3.0,1,I,-,,RN,Joao Camara,(IAG) mb inferida,2.7,0.3,Mw(mb)
328,1986,8,6,1,51,39,-4.5,-65.9,0.0,100,3.8,1,I,-,,AM,RIO TEFE',(UnB),3.5,0.3,Mw(mb)
329,1986,8,6,12,56,1,-5.53,-35.75,0.0,10,3.0,1,I,-,,RN,Joao Camara,(IAG),2.7,0.3,Mw(mb)
330,1986,8,20,11,58,10,-5.53,-35.75,0.0,10,3.3,1,I,-,,RN,Joao Camara,(UnB;IAG),3.0,0.3,Mw(mb)
331,1986,8,20,18,0,14,-5.53,-35.75,0.0,10,3.8,1,C,5,,RN,Joao Camara,(UFRN;UnB;IAG),3.5,0.3,Mw(mb)
332,1986,8,20,18,12,14,-5.53,-35.75,0.0,10,3.2,1,I,-,,RN,Joao Camara,(UnB;IAG),2.9,0.3,Mw(mb)
333,1986,8,21,9,34,40,-5.52,-35.73,0.0,5,4.2,1,A,6-7,,RN,Joao Camara,(UFRN;UnB;IAG) sentido J. Pessoa e Recife,3.9,0.3,Mw(mb)
334,1986,8,21,9,41,45,-5.53,-35.75,0.0,10,3.2,1,I,-,,RN,Joao Camara,(UnB;IAG) mb inferida,2.9,0.3,Mw(mb)
335,1986,8,23,20,6,31,-5.53,-35.75,0.0,10,3.7,1,I,-,,RN,Joao Camara,(UnB;UFRN;IAG),3.4,0.3,Mw(mb)
336,1986,8,25,14,52,12,-5.53,-35.75,0.0,10,3.1,1,I,-,,RN,Joao Camara,(IAG),2.8,0.3,Mw(mb)
337,1986,8,27,9,54,53,-5.53,-35.75,0.0,10,3.0,1,I,-,,RN,Joao Camara,(IAG),2.7,0.3,Mw(mb)
338,1986,8,27,13,25,26,-5.53,-35.75,0.0,10,3.1,1,I,-,,RN,Joao Camara,(UnB;UFRN;IAG) mb inf.,2.8,0.3,Mw(mb)
339,1986,9,3,1,16,6,-5.5,-35.74,0.0,5,4.1,1,A,6,,RN,Joao Camara,(IAG;UnB;UFRN),3.8,0.3,Mw(mb)
340,1986,9,3,3,38,18,-5.53,-35.75,0.0,10,3.4,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),3.1,0.3,Mw(mb)
341,1986,9,3,4,19,50,-5.53,-35.75,0.0,10,3.2,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),2.9,0.3,Mw(mb)
342,1986,9,4,1,15,39,-5.53,-35.75,0.0,10,3.1,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),2.8,0.3,Mw(mb)
343,1986,9,4,1,31,21,-5.53,-35.75,0.0,10,3.0,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),2.7,0.3,Mw(mb)
344,1986,9,5,20,39,28,-5.51,-35.76,0.0,5,4.1,1,A,6,,RN,Joao Camara,(IAG;UnB;UFRN),3.8,0.3,Mw(mb)
345,1986,9,5,20,46,17,-5.53,-35.75,0.0,10,3.2,1,I,-,,RN,Joao Camara,(IAG) mb inferida,2.9,0.3,Mw(mb)
346,1986,9,5,20,57,23,-5.53,-35.75,0.0,10,3.1,1,I,-,,RN,Joao Camara,(IAG) mb inferida,2.8,0.3,Mw(mb)
347,1986,9,9,9,17,22,-5.53,-35.75,0.0,10,3.0,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),2.7,0.3,Mw(mb)
348,1986,9,9,20,2,36,-5.53,-35.75,0.0,10,3.6,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),3.3,0.3,Mw(mb)
349,1986,9,9,23,29,2,-5.53,-35.75,0.0,10,3.2,1,I,-,,RN,Joao Camara,(IAG),2.9,0.3,Mw(mb)
350,1986,9,11,9,5,41,-5.53,-35.75,0.0,10,3.6,1,I,-,,RN,Joao Camara,(IAG),3.3,0.3,Mw(mb)
351,1986,11,17,23,23,6,-11.56,-56.58,0.0,40,3.6,1,I,-,,MT,Pto.Gauchos,(UnB),3.3,0.3,Mw(mb)
352,1986,11,30,3,57,24,-13.5,-48.75,0.0,100,3.2,1,I,-,,GO,FORMOSO,(UnB),2.9,0.3,Mw(mb)
353,1986,11,30,5,19,50,-5.54,-35.76,5.0,5,5.1,1,A,7,,RN,Joao Camara,(UnB;UFRN;IAG: pGT H.O.=AK135),4.8,0.3,Mw(mb)
354,1986,11,30,5,26,10,-5.53,-35.75,0.0,10,3.9,1,I,-,,RN,Joao Camara,(UnB),3.6,0.3,Mw(mb)
355,1986,11,30,6,7,35,-5.53,-35.75,0.0,10,4.0,1,I,-,,RN,Joao Camara,(UnB;IAG),3.7,0.3,Mw(mb)
356,1986,11,30,6,10,20,-5.53,-35.75,0.0,10,4.2,1,I,-,,RN,Joao Camara,(UnB;IAG),3.9,0.3,Mw(mb)
357,1986,11,30,6,58,57,-5.53,-35.75,0.0,10,3.8,1,I,-,,RN,Joao Camara,(UnB;IAG),3.5,0.3,Mw(mb)
358,1986,11,30,7,2,5,-5.53,-35.75,0.0,10,4.2,1,I,-,,RN,Joao Camara,(UnB;IAG),3.9,0.3,Mw(mb)
359,1986,11,30,14,1,47,-5.53,-35.75,0.0,10,3.8,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),3.5,0.3,Mw(mb)
360,1986,11,30,23,1,16,-5.53,-35.75,0.0,10,3.3,1,I,-,,RN,Joao Camara,(IAG;UnB),3.0,0.3,Mw(mb)
361,1986,11,30,23,2,47,-5.53,-35.75,0.0,10,3.2,1,I,-,,RN,Joao Camara,(IAG;UnB),2.9,0.3,Mw(mb)
362,1986,11,30,23,3,59,-5.53,-35.75,0.0,10,3.3,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),3.0,0.3,Mw(mb)
363,1986,12,1,1,4,51,-5.53,-35.75,0.0,10,3.8,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),3.5,0.3,Mw(mb)
364,1986,12,1,17,37,5,-5.53,-35.75,0.0,10,3.3,1,I,-,,RN,Joao Camara,(IAG;UnB),3.0,0.3,Mw(mb)
365,1986,12,1,21,59,16,-5.53,-35.75,0.0,10,3.3,1,I,-,,RN,Joao Camara,(IAG;UnB),3.0,0.3,Mw(mb)
366,1986,12,2,7,6,12,-5.53,-35.75,0.0,10,3.2,1,I,-,,RN,Joao Camara,(IAG;UnB),2.9,0.3,Mw(mb)
367,1986,12,2,9,50,48,-5.53,-35.75,0.0,10,3.6,1,I,-,,RN,Joao Camara,(IAG;UnB),3.3,0.3,Mw(mb)
368,1986,12,3,8,1,46,-5.53,-35.75,0.0,10,3.2,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),2.9,0.3,Mw(mb)
369,1986,12,3,10,6,2,-5.53,-35.75,0.0,10,3.6,1,I,-,,RN,Joao Camara,(UnB;IAG;UFRN),3.3,0.3,Mw(mb)
370,1986,12,3,21,55,37,-5.53,-35.75,0.0,10,3.1,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),2.8,0.3,Mw(mb)
371,1986,12,5,14,17,50,-5.53,-35.75,0.0,10,3.1,1,I,-,,RN,Joao Camara,(IAG),2.8,0.3,Mw(mb)
372,1986,12,5,22,10,8,-5.53,-35.75,0.0,10,4.0,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),3.7,0.3,Mw(mb)
373,1986,12,6,3,4,21,-5.53,-35.75,0.0,10,3.4,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),3.1,0.3,Mw(mb)
374,1986,12,6,9,31,32,-5.53,-35.75,0.0,10,3.6,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),3.3,0.3,Mw(mb)
375,1986,12,6,9,51,4,-5.53,-35.75,0.0,10,3.8,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),3.5,0.3,Mw(mb)
376,1986,12,7,6,9,24,-8.24,-59.84,0.0,100,3.3,1,I,-,,AM,R. ARIPUANA,(UnB),3.0,0.3,Mw(mb)
377,1986,12,7,20,18,9,-5.53,-35.75,0.0,10,3.3,1,I,-,,RN,Joao Camara,(IAG),3.0,0.3,Mw(mb)
378,1986,12,8,21,23,42,-5.49,-35.72,6.0,2,3.6,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),3.3,0.3,Mw(mb)
379,1986,12,8,21,49,3,-5.48,-35.7,6.0,3,3.5,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),3.2,0.3,Mw(mb)
380,1986,12,9,6,48,44,-5.526,-35.738,5.0,3,4.4,1,I,6,,RN,Joao Camara,(IAG;UnB;UFRN) epic: 4P local net,4.1,0.3,Mw(mb)
381,1986,12,11,14,23,1,-5.53,-35.75,0.0,10,3.2,1,I,-,,RN,Joao Camara,(IAG),2.9,0.3,Mw(mb)
382,1986,12,13,4,32,17,-5.53,-35.75,0.0,10,3.0,1,I,-,,RN,Joao Camara,(IAG),2.7,0.3,Mw(mb)
383,1986,12,16,8,20,16,-5.53,-35.75,0.0,10,3.0,1,I,-,,RN,Joao Camara,(IAG),2.7,0.3,Mw(mb)
384,1986,12,16,21,52,18,-5.53,-35.75,0.0,10,3.1,1,I,-,,RN,Joao Camara,(IAG),2.8,0.3,Mw(mb)
385,1986,12,20,2,5,43,-5.53,-35.75,0.0,10,3.0,1,I,-,,RN,Joao Camara,(IAG),2.7,0.3,Mw(mb)
386,1986,12,24,7,5,25,-5.53,-35.75,0.0,10,3.8,1,I,-,,RN,Joao Camara,(UnB;IAG;UFRN),3.5,0.3,Mw(mb)
387,1986,12,24,23,18,50,-5.53,-35.75,0.0,10,3.4,1,I,-,,RN,Joao Camara,(IAG),3.1,0.3,Mw(mb)
388,1987,1,3,13,31,4,-5.53,-35.75,0.0,10,3.7,1,I,-,,RN,Joao Camara,(UnB;UFRN;IAG),3.4,0.3,Mw(mb)
389,1987,1,4,2,24,48,-5.53,-35.75,0.0,10,3.5,1,I,-,,RN,Joao Camara,(UnB;UFRN;IAG),3.2,0.3,Mw(mb)
390,1987,1,7,11,8,27,-5.6,-35.79,0.0,2,3.7,1,I,-,,RN,Joao Camara,(UnB;UFRN;IAG),3.4,0.3,Mw(mb)
391,1987,1,7,12,14,16,-5.6,-35.79,0.0,2,3.8,1,I,-,,RN,Joao Camara,(UnB;UFRN;IAG),3.5,0.3,Mw(mb)
392,1987,1,7,15,6,45,-5.53,-35.75,0.0,10,3.3,1,I,-,,RN,Joao Camara,(UnB;UFRN;IAG),3.0,0.3,Mw(mb)
393,1987,1,13,6,38,59,-5.53,-35.75,0.0,10,3.3,1,I,-,,RN,Joao Camara,(UnB;UFRN;IAG),3.0,0.3,Mw(mb)
394,1987,1,28,16,16,12,-5.52,-35.76,0.0,2,3.7,1,I,-,,RN,Joao Camara,(UnB;UFRN;IAG),3.4,0.3,Mw(mb)
395,1987,1,30,2,3,0,-5.53,-35.75,0.0,10,3.0,1,I,-,,RN,Joao Camara,(UnB;UFRN;IAG),2.7,0.3,Mw(mb)
396,1987,2,3,23,51,56,-5.5,-35.73,0.0,2,3.8,1,I,-,,RN,Joao Camara,(UnB;UFRN;IAG),3.5,0.3,Mw(mb)
397,1987,2,7,7,48,14,-5.53,-35.75,0.0,10,3.4,1,I,-,,RN,Joao Camara,(UnB;UFRN;IAG),3.1,0.3,Mw(mb)
398,1987,2,7,22,12,38,-5.49,-35.71,0.0,2,3.7,1,I,-,,RN,Joao Camara,(UnB;UFRN;IAG),3.4,0.3,Mw(mb)
399,1987,2,23,20,1,37,-5.53,-35.75,0.0,10,3.1,1,I,-,,RN,Joao Camara,(IAG;UnB;UFRN),2.8,0.3,Mw(mb)
400,1987,2,24,20,15,6,-5.53,-35.75,0.0,10,3.1,1,I,-,,RN,Joao Camara,(UnB;UFRN;IAG),2.8,0.3,Mw(mb)
401,1987,2,25,21,37,4,-3.72,-39.81,0.0,50,3.0,1,C,4,0.8,CE,ITAPAJE',(UnB;IAG) Uruburetama,2.7,0.33,0.7Mw(mb)+0.3Mw(Af)
402,1987,3,10,23,42,3,-5.0,-35.0,0.0,100,2.8,1,I,-,,RN,Touros,(UFRN; IAG),2.5,0.3,Mw(mb)
403,1987,3,20,14,46,59,-24.7,-43.6,0.0,100,3.0,1,I,-,,SP,Plat.Contin.,(IAG; IPT; ON),2.7,0.3,Mw(mb)
404,1987,3,22,3,15,9,-26.7,-44.2,0.0,100,3.2,1,I,-,,PR,Plat.Contin.,(IAG; IPT; ON),2.9,0.3,Mw(mb)
405,1987,4,28,4,59,17,-5.53,-35.75,0.0,10,3.6,1,I,-,,RN,JOAO CAMARA,(IAG),3.3,0.3,Mw(mb)
406,1987,6,2,19,16,0,-20.5,-44.5,0.0,50,2.8,1,I,-,,MG,S. ITAGUARA,(IAG),2.5,0.3,Mw(mb)
407,1987,6,18,16,21,2,-5.53,-35.75,0.0,10,3.0,1,I,-,,RN,JOAO CAMARA,(IAG; UFRN),2.7,0.3,Mw(mb)
408,1987,6,27,5,9,2,-5.53,-35.75,0.0,10,3.0,1,I,-,,RN,JOAO CAMARA,(IAG; UFRN),2.7,0.3,Mw(mb)
409,1987,7,29,7,18,28,-27.6,-43.5,0.0,100,3.7,1,I,-,,SP,ATLANTICO,(IAG; IPT),3.4,0.3,Mw(mb)
410,1987,8,27,13,1,22,-25.0,-44.1,0.0,50,3.6,1,I,-,,SP,Plat. Continental,(IAG; ON; IPT),3.3,0.3,Mw(mb)
411,1987,9,5,10,10,22,-21.3,-46.2,0.0,10,2.9,1,I,-,,MG,NW Alfenas,(IAG; ON; IPT),2.6,0.3,Mw(mb)
412,1987,9,23,1,35,21,-19.55,-43.99,0.0,20,3.2,1,I,-,,MG,LAGOA SANTA,(UnB; IAG),2.9,0.3,Mw(mb)
413,1987,9,28,20,18,49,-18.9,-44.0,0.0,80,3.1,1,I,-,,MG,CORDISBURGO,(UnB),2.8,0.3,Mw(mb)
414,1987,10,14,1,8,19,-2.43,-55.15,0.0,50,3.5,1,I,-,,PA,TUMUCUMAQUE?,(UnB) ou: 2.2 N 55.0 W,3.2,0.3,Mw(mb)
415,1987,10,15,9,1,41,-11.6,-56.9,0.0,50,3.9,1,I,-,,MT,P. GAUCHOS,(UnB),3.6,0.3,Mw(mb)
416,1987,10,24,21,23,40,-7.01,-73.94,0.0,30,5.2,0,I,-,,AC,Peru-Brasil,(USGS),4.9,0.3,Mw(mb)
417,1987,11,30,1,23,56,-5.53,-35.75,0.0,10,3.0,1,I,-,,RN,JOAO CAMARA,(IAG),2.7,0.3,Mw(mb)
418,1987,12,10,21,36,24,-11.5,-56.9,0.0,50,3.5,1,I,-,,MT,P. GAUCHOS,(UnB)  57.9W ??,3.2,0.3,Mw(mb)
419,1987,12,11,9,17,40,-6.8,-51.2,0.0,50,3.0,1,I,-,,PA,S.FELIX XIN.,(UnB),2.7,0.3,Mw(mb)
420,1988,1,19,23,41,36,-0.4,-49.9,0.0,100,3.8,1,I,-,,PA,CHAVES ?,(UnB),3.5,0.3,Mw(mb)
421,1988,2,16,15,3,0,5.02,-51.25,0.0,100,3.7,1,I,-,,AP,Plataforma,(UnB),3.4,0.3,Mw(mb)
422,1988,4,1,0,36,34,-3.95,-40.37,8.0,2,4.1,1,I,5-6,,CE,GROAIRAS; Sobral,(UFRN; Kwitko&Assumpcao 1990) checar H.O.,3.8,0.3,Mw(mb)
423,1988,4,1,0,37,46,-3.95,-40.37,8.0,2,3.9,1,I,-,,CE,GROAIRAS; sobral,(IAG),3.6,0.3,Mw(mb)
424,1988,4,5,3,0,51,-22.1,-51.34,0.0,20,3.8,1,A,6,5.0,SP,P. PRUDENTE,(UnB; IAG),3.4,0.33,0.7Mw(mb)+0.3Mw(Af)
425,1988,6,5,16,50,32,0.92,-61.66,0.0,50,3.8,1,I,-,,RR,S.JOSE ANAUA,(UnB),3.5,0.3,Mw(mb)
426,1988,6,7,6,33,14,-24.32,-58.12,0.0,100,3.0,1,I,-,,PY,PARAGUAI,(UnB; IAG),2.7,0.3,Mw(mb)
427,1988,6,11,23,59,29,-4.3,-41.48,0.0,70,3.1,1,I,-,,PI,PEDRO II,(UnB; IAG),2.8,0.3,Mw(mb)
428,1988,6,24,10,1,44,-20.66,-57.97,0.0,50,3.9,1,I,-,,MS,MS,(USGS; UnB; IAG),3.6,0.3,Mw(mb)
429,1988,6,25,11,56,26,-5.53,-35.75,0.0,15,3.4,1,I,-,,RN,JOAO CAMARA,(UnB) SERIE DE EVENTOS,3.1,0.3,Mw(mb)
430,1988,6,26,3,24,22,-36.27,-52.73,18.0,40,4.9,2,I,-,,UR,URUGUAI,(USGS; UnB; IAG; SJA) Felt III Uruguay,4.6,0.3,Mw(mb)
431,1988,6,29,13,14,27,-5.53,-35.75,0.0,15,3.9,1,C,-,,RN,JOAO CAMARA,(UnB; FOLHA S.PAULO),3.6,0.3,Mw(mb)
432,1988,7,19,10,30,0,-20.73,-47.75,0.0,0,3.0,4,C,4,,SP,NUPORANGA,(TV Globo;Rib.Preto),3.3,0.6,Mw(mb(I0))
433,1988,8,11,7,6,14,-11.62,-56.99,0.0,50,3.7,1,I,-,,MT,P. GAUCHOS,(UnB; IAG),3.4,0.3,Mw(mb)
434,1988,8,11,8,6,17,-11.63,-57.95,0.0,50,4.0,1,I,-,,MT,P. GAUCHOS,(UnB; IAG),3.7,0.3,Mw(mb)
435,1988,8,30,15,40,20,-6.09,-47.96,0.0,30,3.5,1,I,5,,TO,ARAGUATINS,(UnB; IAG),3.2,0.3,Mw(mb)
436,1988,9,3,7,29,23,-3.1,-59.76,0.0,50,3.8,1,I,-,,AM,RIO JATAPU,(UnB),3.5,0.3,Mw(mb)
437,1988,10,1,1,39,40,-5.53,-35.75,0.0,15,3.3,1,I,-,,RN,JOAO CAMARA,(IAG; UFRN),3.0,0.3,Mw(mb)
438,1988,10,1,16,43,38,-5.53,-35.75,0.0,15,3.0,1,I,-,,RN,JOAO CAMARA,(IAG; UFRN),2.7,0.3,Mw(mb)
439,1988,10,3,1,3,35,-5.53,-35.75,0.0,15,3.0,1,I,-,,RN,JOAO CAMARA,(IAG; UFRN),2.7,0.3,Mw(mb)
440,1988,10,3,5,2,36,-11.66,-56.91,0.0,40,3.2,1,I,-,,MT,PTO. GAUCHOS,(UnB),2.9,0.3,Mw(mb)
441,1988,10,3,23,57,56,-5.53,-35.75,0.0,15,3.1,1,I,-,,RN,JOAO CAMARA,(IAG; UFRN),2.8,0.3,Mw(mb)
442,1988,10,4,15,23,33,-5.53,-35.75,0.0,15,3.0,1,I,-,,RN,JOAO CAMARA,(IAG; UFRN),2.7,0.3,Mw(mb)
443,1988,10,4,22,18,43,-4.82,-37.97,0.0,5,2.8,1,I,-,,CE,PALHANO,(IAG),2.5,0.3,Mw(mb)
444,1988,10,12,8,16,33,-27.3,-46.97,0.0,50,2.9,1,I,-,,SC,PLATAFORMA,(IAG; IPT; UnB),2.6,0.3,Mw(mb)
445,1988,10,18,9,44,37,-4.81,-37.98,4.0,2,3.7,1,I,-,,CE,PALHANO,(UFRN; UnB; IAG),3.4,0.3,Mw(mb)
446,1988,10,18,21,3,29,-4.81,-37.98,4.0,2,3.9,1,I,-,,CE,PALHANO,(UFRN; UnB; IAG),3.6,0.3,Mw(mb)
447,1988,10,19,2,15,51,-4.81,-37.98,4.0,2,4.2,1,I,6,,CE,PALHANO,(UFRN; UnB; IAG; Assumpcao_etal 1989),3.9,0.3,Mw(mb)
448,1988,10,29,3,24,28,-4.81,-37.97,4.0,2,4.1,1,I,6,,CE,PALHANO,(UFRN; UnB; IAG),3.8,0.3,Mw(mb)
449,1988,10,29,15,30,7,-4.81,-37.97,0.0,4,3.3,1,I,-,,CE,PALHANO,(IAG),3.0,0.3,Mw(mb)
450,1988,10,29,16,18,9,-4.81,-37.97,0.0,4,3.0,1,I,-,,CE,PALHANO,(IAG),2.7,0.3,Mw(mb)
451,1988,10,30,7,13,4,-4.81,-37.97,5.0,2,3.2,1,I,-,,CE,PALHANO,(UFRN; UnB; IAG),2.9,0.3,Mw(mb)
452,1988,11,1,14,25,29,-5.53,-35.75,0.0,15,3.3,1,I,-,,RN,JOAO CAMARA,(IAG; UFRN),3.0,0.3,Mw(mb)
453,1988,11,10,20,15,3,-4.81,-37.98,0.0,5,3.3,1,I,-,,CE,PALHANO,(IAG; UFRN),3.0,0.3,Mw(mb)
454,1988,11,28,19,32,39,-5.53,-35.75,0.0,15,3.0,1,I,-,,RN,JOAO CAMARA,(IAG; UFRN),2.7,0.3,Mw(mb)
455,1988,12,10,9,52,19,-0.73,-59.38,0.0,50,3.8,1,I,-,,RR,JUNDIA',(UnB),3.5,0.3,Mw(mb)
456,1988,12,10,10,28,48,-4.81,-37.98,0.0,5,3.4,1,I,-,,CE,PALHANO,(IAG; UFRN),3.1,0.3,Mw(mb)
457,1988,12,23,15,34,54,-23.0,-44.21,0.0,1,2.8,1,I,5,0.6,RJ,Monsuaba,(IAG;ON;IPT) Angra II MM,2.5,0.33,0.7Mw(mb)+0.3Mw(Af)
458,1989,1,7,3,1,13,-11.62,-48.11,0.0,40,3.8,1,I,-,,TO,Natividade,(UnB;IAG),3.5,0.3,Mw(mb)
459,1989,1,7,11,36,39,-22.93,-51.01,0.0,2,3.7,1,A,6,0.8,PR,Ibiaci,(IPT;IAG;UnB;ON) Provavel induzido.,3.2,0.33,0.7Mw(mb)+0.3Mw(Af)
460,1989,1,15,12,45,18,-4.81,-37.97,0.0,5,3.6,1,I,-,,CE,Palhano,(IAG;UnB),3.3,0.3,Mw(mb)
461,1989,2,3,19,32,9,-23.28,-45.47,0.0,10,2.8,1,I,-,,SP,Paraibuna,(IPT;IAG;ON),2.5,0.3,Mw(mb)
462,1989,2,7,19,12,45,-4.81,-37.97,0.0,5,3.1,1,I,-,,CE,Palhano,(IAG),2.8,0.3,Mw(mb)
463,1989,3,9,1,44,5,-24.51,-40.69,0.0,70,3.4,1,I,-,,RJ,Plataforma,(IPT;IAG),3.1,0.3,Mw(mb)
464,1989,3,9,19,20,17,-19.4,-45.7,0.0,20,3.4,1,I,4,,MG,D. Indaia',(IAG;UnB;IPT;ON),3.1,0.3,Mw(mb)
465,1989,3,10,4,11,20,-5.46,-35.69,8.0,5,5.0,2,I,7,,RN,J.Camara,(UFRN;IAG;UnB; Kwitko_Assumpcao 1990),4.7,0.3,Mw(mb)
466,1989,3,10,7,13,27,-5.46,-35.69,0.0,10,3.2,1,I,-,,RN,J.Camara,(IAG),2.9,0.3,Mw(mb)
467,1989,3,10,10,7,13,-5.46,-35.69,0.0,10,3.9,1,I,-,,RN,J.Camara,(IAG;UnB),3.6,0.3,Mw(mb)
468,1989,3,10,18,54,52,-5.46,-35.69,0.0,10,3.3,1,I,-,,RN,J.Camara,(IAG),3.0,0.3,Mw(mb)
469,1989,3,10,21,26,39,-5.46,-35.69,0.0,10,3.5,1,I,-,,RN,J.Camara,(IAG),3.2,0.3,Mw(mb)
470,1989,3,14,22,56,35,-5.46,-35.69,0.0,10,3.0,1,I,-,,RN,J.Camara,(IAG),2.7,0.3,Mw(mb)
471,1989,3,25,14,33,48,-4.81,-37.97,0.0,5,3.5,1,I,-,,CE,Palhano,(IAG),3.2,0.3,Mw(mb)
472,1989,3,25,15,29,24,-4.81,-37.97,4.0,5,4.1,1,I,-,,CE,Palhano,(UFRN;UnB;IAG),3.8,0.3,Mw(mb)
473,1989,3,26,13,25,39,-4.81,-37.97,4.0,3,4.5,2,I,6,,CE,Palhano,(UFRN;UnB;IAG),4.2,0.3,Mw(mb)
474,1989,3,26,16,30,16,-4.81,-37.97,4.0,5,3.7,1,I,-,,CE,Palhano,(UFRN;IAG;UnB),3.4,0.3,Mw(mb)
475,1989,3,26,18,17,48,-4.81,-37.97,0.0,5,3.9,1,I,-,,CE,Palhano,(UFRN;UnB;IAG),3.6,0.3,Mw(mb)
476,1989,3,29,19,1,4,-13.61,-49.6,0.0,20,3.6,1,I,-,,GO,Porangatu,(UnB;IAG;IPT),3.3,0.3,Mw(mb)
477,1989,5,6,19,55,46,-5.46,-35.69,0.0,20,3.6,1,I,-,,RN,J. Camara,(IAG;UnB),3.3,0.3,Mw(mb)
478,1989,5,9,1,46,8,-20.3,-43.44,0.0,15,3.4,1,I,-,,MG,Mariana,(UnB;IAG;IPT;ON),3.1,0.3,Mw(mb)
479,1989,5,13,7,20,46,-4.81,-37.97,0.0,10,3.0,1,I,-,,CE,Palhano,(IAG),2.7,0.3,Mw(mb)
480,1989,5,13,7,27,32,-4.81,-37.97,0.0,10,3.2,1,I,-,,CE,Palhano,(IAG),2.9,0.3,Mw(mb)
481,1989,5,22,21,9,46,-5.46,-35.69,0.0,20,3.0,1,I,-,,RN,J. Camara,(IAG),2.7,0.3,Mw(mb)
482,1989,5,23,22,57,58,-20.73,-47.75,0.0,5,3.2,1,I,4-5,0.3,SP,Nuporanga,(IAG;UnB;IPT),2.7,0.33,0.7Mw(mb)+0.3Mw(Af)
483,1989,5,26,22,55,28,-4.81,-37.97,0.0,5,4.1,1,I,5-6,,CE,Palhano,(IAG;UnB;UFRN),3.8,0.3,Mw(mb)
484,1989,6,1,21,40,0,-20.73,-48.07,0.0,0,3.0,4,C,4,,SP,Morro Agudo,(IAG),3.3,0.6,Mw(mb(I0))
485,1989,6,6,12,25,31,-1.55,-64.75,0.0,100,3.8,1,I,-,,AM,Rio Cuiuni,(UnB),3.5,0.3,Mw(mb)
486,1989,7,5,3,29,14,-23.37,-45.67,0.0,10,2.8,1,I,-,,SP,Paraibuna,(IPT;IAG),2.5,0.3,Mw(mb)
487,1989,7,13,11,16,59,-15.54,-51.07,0.0,100,3.0,1,I,5,,MT,Cocalinho,(UnB),2.7,0.3,Mw(mb)
488,1989,7,28,13,0,0,-27.94,-50.8,0.0,0,3.2,4,C,4-5,,SC,Campo B. Sul,(Prefeitura Municipal),2.9,0.6,Mw(mb(I0))
489,1989,8,1,17,20,19,-10.18,-59.28,0.0,50,3.6,1,I,-,,MT,Rio Aripuana,(UnB),3.3,0.3,Mw(mb)
490,1989,8,3,16,5,13,-4.94,-40.24,0.0,70,2.8,1,I,-,,CE,M. Tabosa,(UFRN;IAG;UnB),2.5,0.3,Mw(mb)
491,1989,8,11,15,50,41,-24.19,-43.56,0.0,100,3.2,1,I,-,,RJ,Plataforma,(IPT;ON;IAG),2.9,0.3,Mw(mb)
492,1989,8,26,16,5,47,-4.81,-37.97,0.0,5,3.8,1,I,-,,CE,Palhano,(IAG;UnB),3.5,0.3,Mw(mb)
493,1989,8,28,8,6,26,-4.81,-37.97,0.0,5,3.9,1,I,-,,CE,Palhano,(IAG;UFRN;UnB),3.6,0.3,Mw(mb)
494,1989,9,4,6,17,2,-23.41,-41.56,0.0,100,3.1,1,I,-,,RJ,Plataforma,(IAG;IPT;ON),2.8,0.3,Mw(mb)
495,1989,10,17,10,45,59,-4.81,-37.97,0.0,5,3.6,1,I,-,,CE,Palhano,(IAG;UFRN;UnB),3.3,0.3,Mw(mb)
496,1989,10,17,15,2,48,-4.81,-37.97,0.0,5,4.2,1,I,-,,CE,Palhano,(IAG;UFRN),3.9,0.3,Mw(mb)
497,1989,10,17,15,8,26,-4.81,-37.97,0.0,5,3.5,1,I,-,,CE,Palhano,(IAG;UFRN),3.2,0.3,Mw(mb)
498,1989,10,17,15,26,34,-4.81,-37.97,0.0,10,3.1,1,I,-,,CE,Palhano,(IAG),2.8,0.3,Mw(mb)
499,1989,10,18,15,31,6,-4.81,-37.97,0.0,10,3.0,1,I,-,,CE,Palhano,(IAG),2.7,0.3,Mw(mb)
500,1989,10,21,2,58,55,-26.55,-55.7,0.0,30,2.8,1,I,-,,PY,Paraguai,(UnB;IAG),2.5,0.3,Mw(mb)
