,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,ST,Locality,(Reference) Comments,MW_BRProxy,s_MW_BRProxy,t_MW_BRProxy
118,1967,3,23,21,12,15,-23.3,-45.0,0.0,20,4.1,0,A,6-7,30.0,SP,CUNHA,registrado em AREQUIPA,3.8,0.33,0.7Mw(mb)+0.3Mw(Af)
119,1967,8,5,9,56,10,-22.85,-43.12,0.0,10,3.6,1,B,5-6,2.7,RJ,SAO GONCALO,,3.2,0.33,0.7Mw(mb)+0.3Mw(Af)
120,1967,8,9,7,14,8,-8.45,-73.83,42.0,30,5.1,0,I,-,,AC,PERU-BRASIL,,4.8,0.3,Mw(mb)
121,1967,8,18,21,24,24,-21.3,-60.6,0.0,100,4.7,0,I,-,,PY,PARAGUAI,(ISC),4.4,0.3,Mw(mb)
122,1968,1,13,1,55,51,-6.09,-38.44,0.0,10,3.9,2,C,6,25.0,CE,PEREIRO,(UFRN),3.6,0.33,0.7Mw(mb)+0.3Mw(Af)
123,1968,1,13,1,58,0,-6.04,-38.46,0.0,0,2.8,4,C,3-4,,CE,PEREIRO,,2.4,0.6,Mw(mb(I0))
124,1968,1,18,10,40,0,-6.09,-38.44,0.0,0,3.5,4,C,5,,RN,SALAO,DIA INCERTO,2.4,0.6,Mw(mb(I0))
125,1968,2,4,0,0,0,-6.11,-38.44,0.0,0,3.2,4,C,4-5,,RN,JUNCO,,2.9,0.6,Mw(mb(I0))
126,1968,2,15,13,20,48,-6.09,-38.44,0.0,10,4.1,2,B,6,11.0,CE,PEREIRO,(UFRN),3.7,0.33,0.7Mw(mb)+0.3Mw(Af)
127,1968,2,23,14,23,2,-6.09,-38.44,0.0,5,4.6,2,A,7,84.0,CE,PEREIRO,(UFRN;IAG;ISC),4.2,0.33,0.7Mw(mb)+0.3Mw(Af)
128,1968,2,23,14,37,1,-6.09,-38.44,0.0,10,3.0,1,C,-,,CE,PEREIRO,(UFRN) EPICENTRO INFERIDO,2.7,0.3,Mw(mb)
129,1968,2,23,15,21,16,-6.09,-38.44,0.0,10,3.0,1,C,-,,CE,PEREIRO,(UFRN) EPICENTRO INFERIDO,2.7,0.3,Mw(mb)
130,1968,2,23,15,33,3,-6.09,-38.44,0.0,10,3.8,2,C,-,,CE,PEREIRO,(UFRN) EPICENTRO INFERIDO,3.5,0.3,Mw(mb)
131,1968,3,1,0,0,0,-6.92,-39.58,0.0,0,3.0,4,C,4,,CE,FARIAS BRITO,,2.9,0.6,Mw(mb(I0))
132,1968,3,18,0,0,0,-6.04,-38.46,0.0,0,3.7,4,C,5-6,,CE,PEREIRO,,3.3,0.6,Mw(mb(I0))
133,1968,8,27,5,17,36,-8.9,-72.89,26.0,30,4.9,0,I,-,,AC,W DO ACRE,(ISC H=50 ?),4.6,0.3,Mw(mb)
134,1968,10,15,19,54,20,-26.87,-60.88,20.0,30,5.0,4,I,6,,AR,Campo Largo; Chaco,(SJA;ZON/INPRES),3.3,0.6,Mw(mb(I0))
135,1969,3,5,16,28,55,-23.1,-60.6,0.0,100,4.1,0,I,-,,PY,PARAGUAI,(ISC),3.8,0.3,Mw(mb)
136,1970,1,12,4,43,8,-1.32,-48.48,0.0,30,4.5,2,B,6-7,10.0,PA,BELEM,(ISC;IAG;UnB) MAIS 4 EV.,3.9,0.33,0.7Mw(mb)+0.3Mw(Af)
137,1970,1,29,0,0,0,-7.96,-36.21,0.0,0,3.9,4,C,6,,PE,S.C.CAPIBARI,DOIS EVENTOS,3.8,0.6,Mw(mb(I0))
138,1970,1,30,0,0,0,-7.96,-36.21,0.0,0,3.5,4,C,5,,PE,S.C.CAPIBARI,,3.8,0.6,Mw(mb(I0))
139,1970,3,29,8,27,48,-8.29,-73.38,25.0,50,4.3,0,I,-,,AC,SA. DIVISOR,(ISC),4.0,0.3,Mw(mb)
140,1970,8,14,4,59,1,-13.5,-49.1,0.0,50,3.0,5,I,-,,GO,PORANGATU,(BERROCAL 1974) N. SENT.,4.0,0.3,Mw(mb)
141,1970,11,1,0,0,0,-6.93,-35.53,0.0,0,3.9,4,C,6,,PB,ALAGOINHA,,3.8,0.6,Mw(mb(I0))
142,1970,11,20,23,55,21,-13.5,-49.1,0.0,50,3.6,5,I,-,,GO,PORANGATU,(BERROCAL 1974) N. SENT.,3.8,0.6,Mw(mb(I0))
143,1970,12,1,0,0,0,-20.28,-44.75,0.0,3,3.4,3,B,4,0.7,MG,Carmo do CAJURU,INDUZIDO,2.7,0.4,Mw(Af)
144,1971,2,11,0,0,0,-25.1,-48.9,0.0,0,3.0,4,C,4,,PR,CAPIVARI-CACHOEIRA,INDUZIDO POR RESERVATORIO,3.8,0.6,Mw(mb(I0))
145,1971,3,1,0,0,0,-25.25,-48.8,0.0,0,3.7,4,C,5-6,,PR,CAPIVARI-CACHOEIRA,VARIOS; INDUZ.P.RESERVAT.,3.3,0.6,Mw(mb(I0))
146,1971,5,5,15,32,2,-17.0,-53.8,0.0,100,3.6,1,I,-,,MT,ALTO GARCAS,(UnB; mag=3.35+0.25) SENT. RONDONOPOLIS?,3.3,0.3,Mw(mb)
147,1971,5,21,16,0,0,-25.1,-48.9,0.0,0,3.9,4,C,6,,PR,CAPIV-CACHOE,INDUZIDO POR RESERVATORIO,3.3,0.6,Mw(mb(I0))
148,1971,7,16,19,51,4,-13.5,-49.1,0.0,50,3.5,5,I,-,,GO,PORANGATU,(BERROCAL 1974) N. SENT.,3.3,0.6,Mw(mb(I0))
149,1971,8,5,2,30,0,-8.04,-34.9,0.0,0,3.0,5,C,5,,PE,RECIFE,5 EV. (BERROCAL 1974),3.3,0.6,Mw(mb(I0))
150,1971,8,8,13,32,39,-20.28,-44.75,0.0,0,3.5,5,C,5-6,,MG,C.DO CAJURU,INDUZIDO POR RESERVATORIO,3.3,0.6,Mw(mb(I0))
151,1972,1,23,3,3,51,-20.28,-44.75,0.0,5,3.7,1,B,6,3.2,MG,CARMO DO CAJURU,INDUZIDO POR RESERVATORIO,3.3,0.33,0.7Mw(mb)+0.3Mw(Af)
152,1972,1,29,3,34,46,-16.0,-51.0,0.0,100,3.0,5,I,-,,GO,SW DE GOIAS?,(BERROCAL 1974),3.3,0.33,0.7Mw(mb)+0.3Mw(Af)
153,1972,3,4,21,45,0,-9.93,-36.49,0.0,0,3.4,3,C,5,0.7,AL,JUNQUEIRO,,2.7,0.4,Mw(Af)
154,1972,6,4,4,30,0,-6.21,-38.5,0.0,0,3.0,4,C,4,,RN,SAO MIGUEL,,3.3,0.6,Mw(mb(I0))
155,1972,8,1,0,0,0,-16.47,-41.7,0.0,0,3.9,4,C,6,,MG,TUPARECE,VARIOS EVENTOS,3.3,0.6,Mw(mb(I0))
156,1972,10,24,15,36,36,-21.72,-40.53,8.0,30,4.8,2,A,-,210.0,RJ,CAMPOS,(ISC;IAG) RELOCAL.; Campos V MM,4.5,0.33,0.7Mw(mb)+0.3Mw(Af)
157,1973,4,26,14,15,2,-5.28,-35.82,0.0,0,3.6,1,C,-,17.0,RN,PARAZINHO,(UFRN),3.4,0.33,0.7Mw(mb)+0.3Mw(Af)
158,1973,4,26,18,54,57,-5.28,-35.82,0.0,0,3.6,1,C,-,17.0,RN,PARAZINHO,(UFRN),3.4,0.33,0.7Mw(mb)+0.3Mw(Af)
159,1973,4,27,8,20,13,-5.28,-35.82,0.0,0,3.0,1,I,-,,RN,PARAZINHO,(UFRN) EPI. INFERIDO,2.7,0.3,Mw(mb)
160,1973,5,2,3,41,14,-5.28,-35.82,0.0,0,3.0,1,I,-,,RN,PARAZINHO,(UFRN) EPI. INFERIDO,2.7,0.3,Mw(mb)
161,1973,5,2,3,47,58,-5.28,-35.82,0.0,0,3.1,1,I,-,,RN,PARAZINHO,(UFRN) EPI. INFERIDO,2.8,0.3,Mw(mb)
162,1973,6,17,4,22,29,-5.28,-35.82,0.0,0,3.0,1,I,-,,RN,PARAZINHO,(UFRN) EPI. INFERIDO,2.7,0.3,Mw(mb)
