"YEAR","MO","DD","HH","MI","SS","LATITUDE","LONG.","DEPTH","ERR","MAG","MT","Q","Io","Area","M_TYPE","MW_SCOR","MW_BRProxy","s_MW_BRProxy","ST","Locality","(Reference) Comments"
1986,12,9,6,48,44.3,-5.526,-35.738,5,3,4.4,1,"I","6",,"MR",4.8,4.2,0.3,"RN","Joao Camara","(IAG;UnB;UFRN) epic: 4P local net"
1986,12,11,14,23,1,-5.53,-35.75,0,10,3.2,1,"I","-",,"MR",3.8,2.8,0.3,"RN","Joao Camara","(IAG)"
1986,12,13,4,32,17,-5.53,-35.75,0,10,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","Joao Camara","(IAG)"
1986,12,16,8,20,16,-5.53,-35.75,0,10,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","Joao Camara","(IAG)"
1986,12,16,21,52,18,-5.53,-35.75,0,10,3.1,1,"I","-",,"MR",3.7,2.7,0.3,"RN","Joao Camara","(IAG)"
1986,12,20,2,5,43,-5.53,-35.75,0,10,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","Joao Camara","(IAG)"
1986,12,24,7,5,25,-5.53,-35.75,0,10,3.8,1,"I","-",,"MR",4.3,3.5,0.3,"RN","Joao Camara","(UnB;IAG;UFRN)"
1986,12,24,23,18,50,-5.53,-35.75,0,10,3.4,1,"I","-",,"MR",3.9,3.1,0.3,"RN","Joao Camara","(IAG)"
1987,1,3,13,31,4,-5.53,-35.75,0,10,3.7,1,"I","-",,"MR",4.2,3.4,0.3,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,1,4,2,24,48,-5.53,-35.75,0,10,3.5,1,"I","-",,"MR",4.0,3.2,0.3,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,1,7,11,8,27,-5.6,-35.79,0,2,3.7,1,"I","-",,"MR",4.2,3.4,0.3,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,1,7,12,14,16,-5.6,-35.79,0,2,3.8,1,"I","-",,"MR",4.3,3.5,0.3,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,1,7,15,6,45,-5.53,-35.75,0,10,3.3,1,"I","-",,"MR",3.8,2.9,0.3,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,1,13,6,38,59,-5.53,-35.75,0,10,3.3,1,"I","-",,"MR",3.8,2.9,0.3,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,1,28,16,16,12,-5.52,-35.76,0,2,3.7,1,"I","-",,"MR",4.2,3.4,0.3,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,1,30,2,3,,-5.53,-35.75,0,10,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,2,3,23,51,56,-5.5,-35.73,0,2,3.8,1,"I","-",,"MR",4.3,3.5,0.3,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,2,7,7,48,14,-5.53,-35.75,0,10,3.4,1,"I","-",,"MR",3.9,3.1,0.3,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,2,7,22,12,38,-5.49,-35.71,0,2,3.7,1,"I","-",,"MR",4.2,3.4,0.3,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,2,23,20,1,37,-5.53,-35.75,0,10,3.1,1,"I","-",,"MR",3.7,2.7,0.3,"RN","Joao Camara","(IAG;UnB;UFRN)"
1987,2,24,20,15,6,-5.53,-35.75,0,10,3.1,1,"I","-",,"MR",3.7,2.7,0.3,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,2,25,21,37,4,-3.72,-39.81,0,50,3,1,"C","4",0.8,"MR",3.6,2.7,0.3,"CE","ITAPAJE'","(UnB;IAG) Uruburetama"
1987,3,10,23,42,3,-5,-35,0,100,2.8,1,"I","-",,"MR",3.4,2.4,0.3,"RN","Touros","(UFRN; IAG)"
1987,3,20,14,46,59,-24.7,-43.6,0,100,3,1,"I","-",,"MR",3.6,2.6,0.3,"SP","Plat.Contin.","(IAG; IPT; ON)"
1987,3,21,20,39,14,-21.9,-45.6,0,5,2.5,1,"I","-",,"MR",3.2,2.0,0.3,"MG","S.Gonc.Sapuc","(IAG; IPT; ON)"
1987,3,22,3,15,9,-26.7,-44.2,0,100,3.2,1,"I","-",,"MR",3.8,2.8,0.3,"PR","Plat.Contin.","(IAG; IPT; ON)"
1987,4,10,15,29,34,-20.01,-43.78,0,60,2.5,1,"I","-",,"MR",3.2,2.0,0.3,"MG","Nova Lima","(UnB)"
1987,4,28,4,59,17,-5.53,-35.75,0,10,3.6,1,"I","-",,"MR",4.1,3.3,0.3,"RN","JOAO CAMARA","(IAG)"
1987,5,1,5,25,44,-20.8,-44.4,0,20,2.5,1,"I","-",,"MR",3.2,2.0,0.3,"MG","S.Joao del REI","(IAG; IPT)"
1987,5,17,5,32,15,-5.7,-36.05,0,50,2,1,"B","-",0.7,"MR",2.7,1.9,0.3,"RN","CAICARA R.V.","(UFRN; IAG)"
1987,6,2,6,8,8,-8.38,-36.15,0,6,2,1,"I","-",,"MR",2.7,1.5,0.3,"PE","TACAIMBO'","(IAG)"
1987,6,2,6,29,36,-8.38,-36.15,0,6,2.3,1,"C","-",,"MR",3.0,1.8,0.3,"PE","TACAIMBO'","(UFRN; IAG) varios"
1987,6,2,19,16,,-20.5,-44.5,0,50,2.8,1,"I","-",,"MR",3.4,2.4,0.3,"MG","S. ITAGUARA","(IAG)"
1987,6,18,16,21,2,-5.53,-35.75,0,10,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","JOAO CAMARA","(IAG; UFRN)"
1987,6,27,5,9,2,-5.53,-35.75,0,10,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","JOAO CAMARA","(IAG; UFRN)"
1987,7,29,7,18,28,-27.6,-43.5,0,100,3.7,1,"I","-",,"MR",4.2,3.4,0.3,"SP","ATLANTICO","(IAG; IPT)"
1987,8,3,11,34,47,-13.23,-39.68,0,5,2.3,1,"C","-",0.113,"MR",3.0,1.9,0.3,"BA","V.JEQUIRICA'","(IAG) VARIOS"
1987,8,4,13,25,41,-21.4,-46.2,0,20,2.5,1,"I","-",,"MR",3.2,2.0,0.3,"MG","ALFENAS","(IAG; ON)"
1987,8,27,13,1,22,-25,-44.1,0,50,3.6,1,"I","-",,"MR",4.1,3.3,0.3,"SP","Plat. Continental","(IAG; ON; IPT)"
1987,9,5,10,10,22,-21.3,-46.2,0,10,2.9,1,"I","-",,"MR",3.5,2.5,0.3,"MG","NW Alfenas","(IAG; ON; IPT)"
1987,9,23,1,35,21,-19.55,-43.99,0,20,3.2,1,"I","-",,"MR",3.8,2.8,0.3,"MG","LAGOA SANTA","(UnB; IAG)"
1987,9,28,20,18,49,-18.9,-44,0,80,3.1,1,"I","-",,"MR",3.7,2.7,0.3,"MG","CORDISBURGO","(UnB)"
1987,10,14,1,8,19,-2.43,-55.15,0,50,3.5,1,"I","-",,"MR",4.0,3.2,0.3,"PA","TUMUCUMAQUE?","(UnB) ou: 2.2 N 55.0 W"
1987,10,15,9,1,41,-11.6,-56.9,0,50,3.9,1,"I","-",,"MR",4.3,3.6,0.3,"MT","P. GAUCHOS","(UnB)"
1987,10,24,,,,-23.37,-45.67,0,0,2.5,1,"C","4",,"MR",3.2,2.0,0.3,"SP","PARAIBUNA","(IAG)"
1987,10,24,21,23,40,-7.01,-73.94,0,30,5.2,0,"I","-",,"mb",5.5,5.1,0.3,"AC","Peru-Brasil","(USGS)"
1987,11,30,1,23,56,-5.53,-35.75,0,10,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","JOAO CAMARA","(IAG)"
1987,12,10,21,36,24,-11.5,-56.9,0,50,3.5,1,"I","-",,"MR",4.0,3.2,0.3,"MT","P. GAUCHOS","(UnB)  57.9W ??"
1987,12,11,9,17,40,-6.8,-51.2,0,50,3,1,"I","-",,"MR",3.6,2.6,0.3,"PA","S.FELIX XIN.","(UnB)"
1987,12,15,11,22,41,-4.8,-50.45,0,50,2.5,1,"I","-",,"MR",3.2,2.0,0.3,"PA","SA. CARAJAS","(UnB)"
1987,12,17,4,32,0,-20.1,-44.5,0,25,2.3,1,"I","-",,"MR",3.0,1.8,0.3,"MG","C. CAJURU","(IAG; UnB; IPT)"
1987,12,17,5,13,40,-20.2,-44.8,0,25,2.4,1,"I","-",,"MR",3.1,1.9,0.3,"MG","C. CAJURU","(IAG; UnB; IPT)"
1988,1,19,23,41,36,-0.4,-49.9,0,100,3.8,1,"I","-",,"MR",4.3,3.5,0.3,"PA","CHAVES ?","(UnB)"
1988,2,16,15,3,0,5.02,-51.25,0,100,3.7,1,"I","-",,"MR",4.2,3.4,0.3,"AP","Plataforma","(UnB)"
1988,2,22,22,27,18,-5,-38.2,0,30,2,1,"I","-",,"MR",2.7,1.5,0.3,"CE","MORADA NOVA?","(UnB; IAG)"
1988,3,14,6,11,42,-4.7,-38,0,30,2.2,1,"I","-",,"MR",2.9,1.7,0.3,"CE","PALHANO","(UnB; IAG)"
1988,3,14,10,31,51,-4.6,-37.9,0,30,2.1,1,"I","-",,"MR",2.8,1.6,0.3,"CE","PALHANO ?","(UnB; IAG)"
1988,3,14,23,43,33,-4.6,-38,0,30,2.1,1,"I","-",,"MR",2.8,1.6,0.3,"CE","PALHANO ?","(IAG; UFRN; UnB)"
1988,4,1,0,36,34.2,-3.95,-40.37,8,2,4.1,1,"I","5-6",,"MR",4.5,3.8,0.3,"CE","GROAIRAS; Sobral","(UFRN; Kwitko-Assumpcao 1990) checar H.O."
1988,4,1,0,37,46,-3.95,-40.37,8,2,3.9,1,"I","-",,"MR",4.3,3.6,0.3,"CE","GROAIRAS; sobral","(IAG)"
1988,4,5,3,0,51,-22.1,-51.34,0,20,3.8,1,"A","6",5,"MR",4.3,3.5,0.3,"SP","P. PRUDENTE","(UnB; IAG)"
1988,4,14,4,20,11,-4.8,-38.1,0,30,2.1,1,"I","-",,"MR",2.8,1.6,0.3,"CE","PALHANO ?","(UnB; IAG)"
1988,4,30,7,33,16,-4.7,-38.3,0,30,2.5,1,"I","-",,"MR",3.2,2.0,0.3,"CE","PALHANO ?","(UnB; IAG)"
1988,5,1,3,33,21,-4.7,-38.2,0,30,2.6,1,"I","-",,"MR",3.2,2.2,0.3,"CE","PALHANO ?","(UnB; IAG)"
1988,5,13,9,0,21,-5.05,-37.63,0,100,2.3,1,"I","-",,"MR",3.0,1.8,0.3,"RN","BARAUNA","(UnB; IAG)"
1988,6,5,16,50,32,0.92,-61.66,0,50,3.8,1,"I","-",,"MR",4.3,3.5,0.3,"RR","S.JOSE ANAUA","(UnB)"
1988,6,7,6,33,14,-24.32,-58.12,0,100,3,1,"I","-",,"MR",3.6,2.6,0.3,"PY","PARAGUAI","(UnB; IAG)"
1988,6,11,23,59,29,-4.3,-41.48,0,70,3.1,1,"I","-",,"MR",3.7,2.7,0.3,"PI","PEDRO II","(UnB; IAG)"
1988,6,24,10,1,44,-20.66,-57.97,0,50,3.9,1,"I","-",,"MR",4.3,3.6,0.3,"MS","MS","(USGS; UnB; IAG)"
1988,6,25,11,56,26,-5.53,-35.75,0,15,3.4,1,"I","-",,"MR",3.9,3.1,0.3,"RN","JOAO CAMARA","(UnB) SERIE DE EVENTOS"
1988,6,26,3,24,22,-36.27,-52.73,18,40,4.9,2,"I","-",,"M(bR)",5.2,4.7,0.3,"UR","URUGUAI","(USGS; UnB; IAG; SJA) Felt III Uruguay"
1988,6,29,13,14,27,-5.53,-35.75,0,15,3.9,1,"C","-",,"MR",4.3,3.6,0.3,"RN","JOAO CAMARA","(UnB; FOLHA S.PAULO)"
1988,7,19,10,30,,-20.73,-47.75,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"SP","NUPORANGA","(TV Globo;Rib.Preto)"
1988,7,21,21,13,27,-24.75,-40.42,0,100,2.5,1,"I","-",,"MR",3.2,2.0,0.3,"RJ","PLATAFORMA","(IAG; IPT)"
1988,8,11,7,6,14,-11.62,-56.99,0,50,3.7,1,"I","-",,"MR",4.2,3.4,0.3,"MT","P. GAUCHOS","(UnB; IAG)"
1988,8,11,8,6,17,-11.63,-57.95,0,50,4,1,"I","-",,"MR",4.4,3.7,0.3,"MT","P. GAUCHOS","(UnB; IAG)"
1988,8,30,12,51,24,-23.37,-45.67,0,10,2.7,1,"I","-",,"MR",3.3,2.3,0.3,"SP","PARAIBUNA","(IPT; IAG)"
1988,8,30,15,40,20,-6.09,-47.96,0,30,3.5,1,"I","5",,"MR",4.0,3.2,0.3,"TO","ARAGUATINS","(UnB; IAG)"
1988,9,1,2,56,53,-18.8,-45.14,0,20,2.6,1,"I","-",,"MR",3.2,2.2,0.3,"MG","TRES MARIAS","(UnB; IAG; ON)"
1988,9,2,17,51,7,-23.37,-45.67,0,10,2.6,1,"I","-",,"MR",3.2,2.2,0.3,"SP","PARAIBUNA","(IPT; IAG)"
1988,9,3,1,46,30,-23.37,-45.67,0,10,2.4,1,"I","-",,"MR",3.1,1.9,0.3,"SP","PARAIBUNA","(IPT; IAG)"
1988,9,3,3,49,19,-23.37,-45.67,0,10,2,1,"I","-",,"MR",2.7,1.5,0.3,"SP","PARAIBUNA","(IPT; IAG)"
1988,9,3,7,29,23,-3.1,-59.76,0,50,3.8,1,"I","-",,"MR",4.3,3.5,0.3,"AM","RIO JATAPU","(UnB)"
1988,9,6,7,2,54,-23.36,-45.63,0,6,2,1,"I","-",,"MR",2.7,1.5,0.3,"SP","PARAIBUNA","(IPT; IAG)"
1988,9,19,3,5,59,-25.29,-45.09,0,50,2.5,1,"I","-",,"MR",3.2,2.0,0.3,"SP","Plataforma","(IAG;IPT;ON) corrigido"
1988,10,1,1,39,40,-5.53,-35.75,0,15,3.3,1,"I","-",,"MR",3.8,2.9,0.3,"RN","JOAO CAMARA","(IAG; UFRN)"
1988,10,1,16,43,38,-5.53,-35.75,0,15,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","JOAO CAMARA","(IAG; UFRN)"
1988,10,3,1,3,35,-5.53,-35.75,0,15,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","JOAO CAMARA","(IAG; UFRN)"
1988,10,3,5,2,36,-11.66,-56.91,0,40,3.2,1,"I","-",,"MR",3.8,2.8,0.3,"MT","PTO. GAUCHOS","(UnB)"
1988,10,3,23,57,56,-5.53,-35.75,0,15,3.1,1,"I","-",,"MR",3.7,2.7,0.3,"RN","JOAO CAMARA","(IAG; UFRN)"
1988,10,4,15,23,33,-5.53,-35.75,0,15,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","JOAO CAMARA","(IAG; UFRN)"
1988,10,4,22,18,43,-4.82,-37.97,0,5,2.8,1,"I","-",,"MR",3.4,2.4,0.3,"CE","PALHANO","(IAG)"
1988,10,12,8,16,33,-27.3,-46.97,0,50,2.9,1,"I","-",,"MR",3.5,2.5,0.3,"SC","PLATAFORMA","(IAG; IPT; UnB)"
1988,10,18,9,44,37,-4.81,-37.98,4,2,3.7,1,"I","-",,"MR",4.2,3.4,0.3,"CE","PALHANO","(UFRN; UnB; IAG)"
1988,10,18,21,3,29,-4.81,-37.98,4,2,3.9,1,"I","-",,"MR",4.3,3.6,0.3,"CE","PALHANO","(UFRN; UnB; IAG)"
1988,10,19,2,15,51.3,-4.81,-37.98,4,2,4.2,1,"I","6",,"MR",4.6,3.9,0.3,"CE","PALHANO","(UFRN; UnB; IAG; Assumpcao_etal 1989)"
1988,10,19,6,2,35,-24.8,-42,0,100,2.1,1,"I","-",,"MR",2.8,1.6,0.3,"SP","PLATAFORMA","(IPT; IAG)"
1988,10,29,3,24,28,-4.81,-37.97,4,2,4.1,1,"I","6",,"MR",4.5,3.8,0.3,"CE","PALHANO","(UFRN; UnB; IAG)"
1988,10,29,15,30,7,-4.81,-37.97,0,4,3.3,1,"I","-",,"MR",3.8,2.9,0.3,"CE","PALHANO","(IAG)"
1988,10,29,16,18,9,-4.81,-37.97,0,4,3,1,"I","-",,"MR",3.6,2.6,0.3,"CE","PALHANO","(IAG)"
1988,10,30,7,13,4,-4.81,-37.97,5,2,3.2,1,"I","-",,"MR",3.8,2.8,0.3,"CE","PALHANO","(UFRN; UnB; IAG)"
1988,11,1,14,25,29,-5.53,-35.75,0,15,3.3,1,"I","-",,"MR",3.8,2.9,0.3,"RN","JOAO CAMARA","(IAG; UFRN)"
1988,11,9,20,38,9,-26.1,-52.1,0,100,2.1,1,"I","-",,"MR",2.8,1.6,0.3,"PR","MANGUEIRINHA","(UnB) explosao ?"
1988,11,10,20,15,3,-4.81,-37.98,0,5,3.3,1,"I","-",,"MR",3.8,2.9,0.3,"CE","PALHANO","(IAG; UFRN)"
1988,11,10,22,36,25,-20.31,-47.35,0,30,2.3,1,"I","-",,"MR",3.0,1.8,0.3,"SP","FRANCA","(UnB; IPT; IAG) expl.?"
1988,11,28,19,32,39,-5.53,-35.75,0,15,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","JOAO CAMARA","(IAG; UFRN)"
1988,12,10,9,52,19,-0.73,-59.38,0,50,3.8,1,"I","-",,"MR",4.3,3.5,0.3,"RR","JUNDIA'","(UnB)"
1988,12,10,10,28,48,-4.81,-37.98,0,5,3.4,1,"I","-",,"MR",3.9,3.1,0.3,"CE","PALHANO","(IAG; UFRN)"
1988,12,23,15,34,54,-23,-44.21,0,1,2.8,1,"I","5",0.6,"MR",3.4,2.5,0.3,"RJ","Monsuaba","(IAG;ON;IPT) Angra II MM"
1988,12,25,17,3,16,-23,-44.21,0,1,2.6,1,"I","4-5",,"MR",3.2,2.2,0.3,"RJ","Monsuaba","(IAG;ON;IPT)"
1988,12,25,17,35,,-23,-44.22,0,3,2.1,5,"I","4",,"Ind",2.8,2.1,0.6,"RJ","Monsuaba","(IAG;ON;IPT)"
1988,12,27,1,53,42,-22.99,-44.21,0,1,2.2,5,"I","4",,"Ind",2.9,2.2,0.6,"RJ","Monsuaba","(IAG;ON;IPT)"
1988,12,28,2,29,46,-23,-44.22,0,1,2,5,"I","4",,"Ind",2.7,2.0,0.6,"RJ","Monsuaba","(IAG;ON;IPT)"
1988,12,29,21,48,37,-14.08,-48.16,0,50,2.4,1,"I","-",,"MR",3.1,1.9,0.3,"GO","NIQUELANDIA","(SAAS-UnB)"
1989,1,6,19,2,24,-23.37,-45.67,0,10,2.3,1,"I","-",,"MR",3.0,1.8,0.3,"SP","Paraibuna","(IPT;IAG)"
1989,1,7,3,1,13,-11.62,-48.11,0,40,3.8,1,"I","-",,"MR",4.3,3.5,0.3,"TO","Natividade","(UnB;IAG)"
1989,1,7,11,36,39,-22.93,-51.01,0,2,3.7,1,"A","6",0.8,"MR",4.2,3.2,0.3,"PR","Ibiaci","(IPT;IAG;UnB;ON) Provavel induzido."
1989,1,15,12,45,18,-4.81,-37.97,0,5,3.6,1,"I","-",,"MR",4.1,3.3,0.3,"CE","Palhano","(IAG;UnB)"
1989,1,18,23,38,10,-23.37,-45.67,0,10,2.5,1,"I","-",,"MR",3.2,2.0,0.3,"SP","Paraibuna","(IPT;IAG;ON)"
1989,2,3,19,32,9,-23.28,-45.47,0,10,2.8,1,"I","-",,"MR",3.4,2.4,0.3,"SP","Paraibuna","(IPT;IAG;ON)"
1989,2,7,19,12,45,-4.81,-37.97,0,5,3.1,1,"I","-",,"MR",3.7,2.7,0.3,"CE","Palhano","(IAG)"
1989,3,9,1,44,5,-24.51,-40.69,0,70,3.4,1,"I","-",,"MR",3.9,3.1,0.3,"RJ","Plataforma","(IPT;IAG)"
1989,3,9,19,20,17,-19.4,-45.7,0,20,3.4,1,"I","4",,"MR",3.9,3.1,0.3,"MG","D. Indaia'","(IAG;UnB;IPT;ON)"
1989,3,10,4,11,20.2,-5.46,-35.69,8,5,5,2,"I","7",,"M(bR)",5.3,4.8,0.3,"RN","J.Camara","(UFRN;IAG;UnB; Kwitko_Assumpcao 1990)"
1989,3,10,7,13,27,-5.46,-35.69,0,10,3.2,1,"I","-",,"MR",3.8,2.8,0.3,"RN","J.Camara","(IAG)"
1989,3,10,10,7,13,-5.46,-35.69,0,10,3.9,1,"I","-",,"MR",4.3,3.6,0.3,"RN","J.Camara","(IAG;UnB)"
1989,3,10,18,54,52,-5.46,-35.69,0,10,3.3,1,"I","-",,"MR",3.8,2.9,0.3,"RN","J.Camara","(IAG)"
1989,3,10,21,26,39,-5.46,-35.69,0,10,3.5,1,"I","-",,"MR",4.0,3.2,0.3,"RN","J.Camara","(IAG)"
1989,3,14,22,56,35,-5.46,-35.69,0,10,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","J.Camara","(IAG)"
1989,3,25,14,33,48,-4.81,-37.97,0,5,3.5,1,"I","-",,"MR",4.0,3.2,0.3,"CE","Palhano","(IAG)"
1989,3,25,15,29,24,-4.81,-37.97,4,5,4.1,1,"I","-",,"MR",4.5,3.8,0.3,"CE","Palhano","(UFRN;UnB;IAG)"
1989,3,26,13,25,39.31,-4.81,-37.97,4,3,4.5,2,"I","6",,"M(bR)",4.9,4.3,0.3,"CE","Palhano","(UFRN;UnB;IAG)"
1989,3,26,16,30,16,-4.81,-37.97,4,5,3.7,1,"I","-",,"MR",4.2,3.4,0.3,"CE","Palhano","(UFRN;IAG;UnB)"
1989,3,26,18,17,48,-4.81,-37.97,0,5,3.9,1,"I","-",,"MR",4.3,3.6,0.3,"CE","Palhano","(UFRN;UnB;IAG)"
1989,3,29,19,1,4,-13.61,-49.6,0,20,3.6,1,"I","-",,"MR",4.1,3.3,0.3,"GO","Porangatu","(UnB;IAG;IPT)"
1989,4,1,23,40,56,-19.4,-45.7,0,30,2.4,1,"I","-",,"MR",3.1,1.9,0.3,"MG","D. Indaia'","(UnB)"
1989,4,2,1,17,23,-19.4,-45.7,0,30,2.3,1,"I","-",,"MR",3.0,1.8,0.3,"MG","D. Indaia'","(UnB)"
1989,5,6,19,55,46,-5.46,-35.69,0,20,3.6,1,"I","-",,"MR",4.1,3.3,0.3,"RN","J. Camara","(IAG;UnB)"
1989,5,7,6,38,0,-24.77,-46.47,0,50,2,1,"I","-",,"MR",2.7,1.5,0.3,"SP","Plataforma","(IPT)"
1989,5,9,1,46,8,-20.3,-43.44,0,15,3.4,1,"I","-",,"MR",3.9,3.1,0.3,"MG","Mariana","(UnB;IAG;IPT;ON)"
1989,5,9,6,38,36,-12.3,-38.59,0,20,2.2,1,"I","-",,"MR",2.9,1.7,0.3,"BA","T. Sampaio","(IAG)"
1989,5,13,7,20,46,-4.81,-37.97,0,10,3,1,"I","-",,"MR",3.6,2.6,0.3,"CE","Palhano","(IAG)"
1989,5,13,7,27,32,-4.81,-37.97,0,10,3.2,1,"I","-",,"MR",3.8,2.8,0.3,"CE","Palhano","(IAG)"
1989,5,22,21,9,46,-5.46,-35.69,0,20,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","J. Camara","(IAG)"
1989,5,23,22,57,58,-20.73,-47.75,0,5,3.2,1,"I","4-5",0.3,"MR",3.8,2.8,0.3,"SP","Nuporanga","(IAG;UnB;IPT)"
1989,5,26,22,55,28,-4.81,-37.97,0,5,4.1,1,"I","5-6",,"MR",4.5,3.8,0.3,"CE","Palhano","(IAG;UnB;UFRN)"
1989,6,1,21,40,,-20.73,-48.07,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"SP","Morro Agudo","(IAG)"
1989,6,6,12,25,31,-1.55,-64.75,0,100,3.8,1,"I","-",,"MR",4.3,3.5,0.3,"AM","Rio Cuiuni","(UnB)"
1989,7,4,6,23,40,-24.87,-46.81,0,50,2,1,"I","-",,"MR",2.7,1.5,0.3,"SP","Plataforma","(IPT)"
1989,7,5,3,29,14,-23.37,-45.67,0,10,2.8,1,"I","-",,"MR",3.4,2.4,0.3,"SP","Paraibuna","(IPT;IAG)"
1989,7,9,22,26,52,-24.3,-43.03,0,20,2.3,1,"I","-",,"MR",3.0,1.8,0.3,"SP","Plataforma","(IPT;ON;IAG)"
1989,7,10,6,28,35,-22.45,-43.95,0,20,2,1,"I","-",,"MR",2.7,1.5,0.3,"RJ","V. Redonda","(IPT;ON;IAG)"
1989,7,13,11,16,59,-15.54,-51.07,0,100,3,1,"I","5",,"MR",3.6,2.6,0.3,"MT","Cocalinho","(UnB)"
1989,7,19,13,36,37,-23.78,-41.59,0,30,2.4,1,"I","-",,"MR",3.1,1.9,0.3,"RJ","Plataforma","(IPT;IAG;ON)"
1989,7,28,13,0,,-27.94,-50.8,0,0,3.2,4,"C","4-5",,"M(Io)",3.8,3.2,0.6,"SC","Campo B. Sul","(Prefeitura Municipal)"
1989,8,1,17,20,19,-10.18,-59.28,0,50,3.6,1,"I","-",,"MR",4.1,3.3,0.3,"MT","Rio Aripuana","(UnB)"
1989,8,3,2,33,21,-21.83,-45.24,0,20,2.2,1,"I","-",,"MR",2.9,1.7,0.3,"MG","Cambuquira","(IPT;IAG)"
1989,8,3,16,5,13,-4.94,-40.24,0,70,2.8,1,"I","-",,"MR",3.4,2.4,0.3,"CE","M. Tabosa","(UFRN;IAG;UnB)"
1989,8,7,19,42,0,-20.94,-43.54,0,40,2,1,"I","-",,"MR",2.7,1.5,0.3,"MG","Barbacena","(IPT;IAG) Explosao ?"
1989,8,11,15,50,41,-24.19,-43.56,0,100,3.2,1,"I","-",,"MR",3.8,2.8,0.3,"RJ","Plataforma","(IPT;ON;IAG)"
1989,8,26,16,5,47,-4.81,-37.97,0,5,3.8,1,"I","-",,"MR",4.3,3.5,0.3,"CE","Palhano","(IAG;UnB)"
1989,8,28,8,6,26,-4.81,-37.97,0,5,3.9,1,"I","-",,"MR",4.3,3.6,0.3,"CE","Palhano","(IAG;UFRN;UnB)"
1989,9,4,6,17,2,-23.41,-41.56,0,100,3.1,1,"I","-",,"MR",3.7,2.7,0.3,"RJ","Plataforma","(IAG;IPT;ON)"
1989,9,27,3,56,28,-5.81,-36.91,0,5,2,1,"I","-",,"MR",2.7,1.5,0.3,"RN","N. S. Rafael","(UFRN) Sismo Induzido ?"
1989,9,27,6,35,14,-5.81,-36.91,0,5,2.3,1,"C","3-4",,"MR",3.0,1.8,0.3,"RN","N. S. Rafael","(UFRN) Sismo Induzido ?"
1989,9,27,6,50,5,-5.81,-36.91,0,5,2,1,"C","-",,"MR",2.7,1.5,0.3,"RN","N. S. Rafael","(UFRN) Sismo Induzido ?"
1989,10,17,10,45,59,-4.81,-37.97,0,5,3.6,1,"I","-",,"MR",4.1,3.3,0.3,"CE","Palhano","(IAG;UFRN;UnB)"
1989,10,17,15,2,48,-4.81,-37.97,0,5,4.2,1,"I","-",,"MR",4.6,3.9,0.3,"CE","Palhano","(IAG;UFRN)"
1989,10,17,15,8,26,-4.81,-37.97,0,5,3.5,1,"I","-",,"MR",4.0,3.2,0.3,"CE","Palhano","(IAG;UFRN)"
1989,10,17,15,26,34,-4.81,-37.97,0,10,3.1,1,"I","-",,"MR",3.7,2.7,0.3,"CE","Palhano","(IAG)"
1989,10,18,15,31,6,-4.81,-37.97,0,10,3,1,"I","-",,"MR",3.6,2.6,0.3,"CE","Palhano","(IAG)"
1989,10,19,4,17,,-20.73,-47.75,0,0,2.6,4,"C","3",,"M(Io)",3.2,2.6,0.6,"SP","Nuporanga","(Pref.Mun.; TVS) 3 tremores"
1989,10,21,2,58,55,-26.55,-55.7,0,30,2.8,1,"I","-",,"MR",3.4,2.4,0.3,"PY","Paraguai","(UnB;IAG)"
1989,11,6,15,14,,-7.08,-41.44,0,0,2.6,4,"C","3",,"M(Io)",3.2,2.6,0.6,"PI","Picos","(UnB;Pref. Municipal)"
1989,11,26,11,21,26,-0.24,-49.86,0,20,4,1,"I","3-4",,"MR",4.4,3.7,0.3,"PA","Chaves","(UnB;IAG;J.Est.S.Paulo)"
